Country,Average # of Minutes Watching Netflix
Peru,115300
Argentina,110459
Chile,107451
Mexico,106018
Colombia,101212
Canada,98583
Brazil,95192
United States of America,90672
Switzerland,82487
United Kingdom,79861
Netherlands,74861
Ireland,74255
New Zealand,73734
France,72885
Sweden,72743
Romania,72627
Denmark,72057
Greece,71827
Spain,71205
Portugal,71036
Norway,70736
Belgium,70417
Australia,68221
Finland,66933
Germany,66988
South Africa,64906
Lebanon,64160
Poland,63619
Austria,61965
Arab Republic of Egypt,60306
Italy,60006
Israel,58458
Saudi Arabia,57575
Serbia,54000
United Arab Emirates,53357
Slovenia,51696
Latvia,49318
Iceland,48310
Turkey,43633
Bulgaria,42549
Estonia,41189
Hungary,40588
Lithuania,40387
Czech Republic,37627
Croatia,37118
Slovak Republic,34716
