Country,Average # of Minutes Watching a Series,Average # of Minutes Watching a Movie,Total # of Minutes Watching Netflix,Total # of Hours Watching Netflix,Total # of Days Watching Netflix,% of Time Spent Watching TV Series,% of Time Spent Watching Movies
Peru,81652,33648,115300,1922,80,70.82,29.18
Argentina,94990,15469,110459,1841,77,86,14
Chile,95641,11810,107451,1791,75,89.01,10.99
Mexico,84348,21670,106018,1767,74,79.56,20.44
Colombia,79409,21803,101212,1687,70,78.46,21.54
Canada,79569,19014,98583,1643,68,80.71,19.29
Brazil,80345,14847,95192,1587,66,84.4,15.6
United States,77447,13225,90672,1511,63,85.41,14.59
Switzerland,69859,12628,82487,1375,57,84.69,15.31
United Kingdom,63057,16804,79861,1331,55,78.96,21.04
Netherlands,59508,15353,74861,1248,52,79.49,20.51
Ireland,60062,14193,74255,1238,52,80.89,19.11
New Zealand,55630,18104,73734,1229,51,75.45,24.55
France,63283,9602,72885,1215,51,86.83,13.17
Sweden,55828,16915,72743,1212,51,76.75,23.25
Romania,56160,16467,72627,1210,50,77.33,22.67
Denmark,56046,16012,72057,1201,50,77.78,22.22
Greece,61312,10515,71827,1197,50,85.36,14.64
Spain,56629,14576,71205,1187,49,79.53,20.47
Portugal,60968,10068,71036,1184,49,85.83,14.17
Norway,55936,14800,70736,1179,49,79.08,20.92
Belgium,56979,13438,70417,1174,49,80.92,19.08
Australia,52766,15455,68221,1137,47,77.35,22.65
Finland,51992,14941,66933,1116,46,77.68,22.32
Germany,54463,12525,66988,1116,47,81.3,18.7
South Africa,54480,10426,64906,1082,45,83.94,16.06
Lebanon,58029,6131,64160,1069,45,90.44,9.56
Poland,52637,10982,63619,1060,44,82.74,17.26
Austria,51833,10131,61965,1033,43,83.65,16.35
Egypt,49817,10489,60306,1005,42,82.61,17.39
Italy,50211,9795,60006,1000,42,83.68,16.32
Israel,51834,6624,58458,974,41,88.67,11.33
Saudi Arabia,49309,8266,57575,960,40,85.64,14.36
Serbia,43713,10287,54000,900,38,80.95,19.05
United Arab Emirates,41731,11626,53357,889,37,78.21,21.79
Slovenia,45492,6204,51696,862,36,88,12
Latvia,41430,7888,49318,822,34,84.01,15.99
Iceland,42362,5948,48310,805,34,87.69,12.31
Turkey,37098,6535,43633,727,30,85.02,14.98
Bulgaria,38727,3822,42549,709,30,91.02,8.98
Estonia,35962,5227,41189,686,29,87.31,12.69
Hungary,35724,4864,40588,676,28,88.02,11.98
Lithuania,34922,5465,40387,673,28,86.47,13.53
Czechia,30281,7346,37627,627,26,80.48,19.52
Croatia,30448,6670,37118,619,26,82.03,17.97
Slovakia,27912,6803,34716,579,24,80.4,19.6
