director,show_id
Kirsten Johnson,s1
Julien Leclercq,s3
Mike Flanagan,s6
Robert Cullen,s7
José Luis Ucha,s7
Haile Gerima,s8
Andy Devonshire,s9
Theodore Melfi,s10
Kongkiat Komesiri,s12
Christian Schwochow,s13
Bruno Garotti,s14
Pedro de Echave García,s17
Pablo Azorín Williams,s17
Adam Salky,s19
Olivier Megaton,s21
K.S. Ravikumar,s23
Alex Woo,s24
Stanley Moore,s24
S. Shankar,s25
Rajiv Menon,s27
Dennis Dugan,s28
Scott Stewart,s29
Robert Luketic,s30
Ashwiny Iyer Tiwari,s31
Abhishek Chaubey,s31
Saket Chaudhary,s31
Daniel Sandu,s36
Cédric Jimenez,s37
George Nolfi,s39
Steven Spielberg,s42
Jeannot Szwarc,s43
Joe Alves,s44
Joseph Sargent,s45
Tyler Greco,s46
Daniel Espinosa,s47
Bunmi Ajakaiye,s48
Antoine Fuqua,s49
Toshiya Shinohara,s52
Toshiya Shinohara,s53
Toshiya Shinohara,s54
Toshiya Shinohara,s55
Masahiko Murata,s57
Hajime Kamegaki,s58
Masahiko Murata,s59
Hajime Kamegaki,s60
Masahiko Murata,s61
Hirotsugu Kawasaki,s62
Toshiyuki Tsuru,s63
Tensai Okamura,s64
David Yarovesky,s65
Hanns-Bruno Kammertöns,s69
Vanessa Nöcker,s69
Michael Wech,s69
David A. Vargas,s72
Kemi Adetiba,s74
Ben Simms,s76
Prakash Satam,s78
Delhiprasad Deenadayalan,s79
Delhiprasad Deenadayalan,s80
Tomer Eshed,s81
Cedric Nicolas-Troyan,s82
JJC Skillz,s85
Funke Akindele,s85
Thomas Sieben,s87
Marcus Clarke,s89
Alice Waddington,s91
Mona Achache,s92
Patricia Tourancheau,s92
Alexis Almström,s94
Raja Gosnell,s95
Stephen Kijak,s97
Chapman Way,s102
Maclain Way,s102
Jason Hehir,s103
Yemi Amodu,s104
Lijo Jose Pellissery,s106
David de Vos,s108
Luis Alfaro,s111
Javier Gómez Santander,s111
Sara Colangelo,s113
Stephen Herek,s114
Rahul Rawail,s115
Jane Campion,s116
Nagesh Kukunoor,s117
Luke Holland,s118
Shanker Raman,s119
JP Habac,s120
Jane Campion,s123
Vidhu Vinod Chopra,s127
Mark Rosman,s128
Gilles Paquet-Brenner,s129
Lasse Hallström,s130
Scott Pleydell-Pearce,s131
Ridley Scott,s132
Neill Blomkamp,s134
Phillip Noyce,s135
Renny Harlin,s136
Anthony Minghella,s137
Simon Wincer,s138
Lasse Hallström,s139
Spike Lee,s140
Sebastián Schindel,s141
Steven C. Miller,s142
Richard LaGravenese,s143
Martin Campbell,s144
Reginald Hudlin,s145
George Jackson,s146
Doug McHenry,s146
Eric Meza,s147
Gerhard Mostert,s149
Michael Martin,s150
Michael Rymer,s151
Andrew Lau Wai-keung,s152
Alan Mak,s152
Brett Weiner,s153
Jim Henson,s156
Gary Winick,s157
Danishka Esterhazy,s158
Troy Byer,s159
Pang Ho-cheung,s160
Tim Burton,s162
Reginald Hudlin,s163
David Zucker,s164
Kinka Usher,s165
Sergio Leone,s167
Matthew O'Callaghan,s168
Todd Wilderman,s168
Bobby Farrelly,s169
Peter Farrelly,s169
Wolfgang Petersen,s170
Peter Spirer,s171
Michael Carney,s172
Richard Linklater,s173
Amy Rice,s174
Antoine Fuqua,s175
Randal Kleiser,s176
Michael Ritchie,s177
J. Lee Thompson,s178
Evan Goldberg,s179
Seth Rogen,s179
Tom Shadyac,s180
Peter Segal,s181
Malcolm D. Lee,s183
Wolfgang Petersen,s184
Chapman Way,s186
Maclain Way,s186
Ramzy Bedia,s189
Éric Judor,s189
Sharan Koppisetty,s191
Taylor Sheridan,s192
Sachin Yardi,s193
Saurabh Kabra,s196
Mark Waters,s197
Kemi Adetiba,s199
Partho Mitra,s200
Santram Varma,s201
Anil V. Kumar,s202
Anurag Basu,s202
Sangeeth Sivan,s203
Umesh Ghadge,s204
Sachin Yardi,s205
David Dhawan,s206
Dibakar Banerjee,s207
Apoorva Lakhia,s208
Milan Luthria,s209
Milan Luthria,s210
Pawan Kripalani,s211
Bhushan Patel,s212
Magnus Martens,s215
Apoorva Lakhia,s216
Raj Nidimoru,s217
Krishna D.K.,s217
Milan Luthria,s218
Joshua Rofé,s222
Brad Anderson,s223
Mauricio Dias,s224
Tatiana Villela,s224
Angel Kristi Williams,s228
Roger Donaldson,s229
Christopher Alender,s230
Rush Sturges,s231
David Oyelowo,s232
Mark Lo,s234
Crystal Moselle,s236
Rathindran R Prasad,s237
Rathindran R Prasad,s238
Rathindran R Prasad,s239
Rathindran R Prasad,s240
Han Kwang Il,s241
Karim El Shenawy,s245
Yin Chen-hao,s247
Brian Andrew Mendoza,s248
Dave Needham,s250
Veronica Velasco,s251
Drake Doremus,s252
Miguel Alexandre,s253
Mani Ratnam,s254
Michael Harte,s256
Tosin Igho,s257
Mani Ratnam,s258
Alice Filippi,s259
Paakhi Tyrewala,s260
Bruno Garotti,s262
Laura Brownson,s263
Steve Brill,s265
Jane Campion,s268
Moses Inwang,s269
