Directors,ID
Christopher Nolan,1
Lana Wachowski,2
Lilly Wachowski,2
Anthony Russo,3
Joe Russo,3
Robert Zemeckis,4
Sergio Leone,5
Bob Persichetti,6
Peter Ramsey,6
Rodney Rothman,6
Roman Polanski,7
Quentin Tarantino,8
Steven Spielberg,9
Quentin Tarantino,10
Martin Scorsese,11
Rajkumar Hirani,12
Guillermo del Toro,13
Lenny Abrahamson,14
Terry Gilliam,15
Terry Jones,15
Sergio Leone,16
Steven Spielberg,17
Harold Ramis,18
Tom Hooper,19
Spike Jonze,20
Paul Thomas Anderson,21
David Fincher,22
Jean-Marc Vallée,23
Stephen Chbosky,24
Terry Jones,25
Alex Garland,26
David O. Russell,27
Neill Blomkamp,28
Martin Scorsese,29
Duncan Jones,30
Noah Baumbach,31
Nicolas Winding Refn,32
Sang-ho Yeon,33
Brad Bird,34
Nitesh Tiwari,35
Sergio Pablos,36
Carlos Martínez López,36
Steven Spielberg,37
Clint Eastwood,38
Aamir Khan,39
Amole Gupte,39
John Hughes,40
Pierre Coffin,41
Chris Renaud,41
David Mackenzie,42
Frank Miller,43
Robert Rodriguez,43
Quentin Tarantino,43
Wilson Yip,44
Steven Spielberg,45
James Marsh,46
Gabriele Muccino,47
Asif Kapadia,48
Edgar Wright,49
Paul Thomas Anderson,50
Quentin Tarantino,51
Michel Hazanavicius,52
Barry Jenkins,53
Robert Zemeckis,54
Mel Stuart,55
Lasse Hallström,56
David Fincher,57
Naoko Yamada,58
Martin Scorsese,60
Peyton Reed,61
James L. Brooks,62
Robert Zemeckis,63
Malik Bendjelloul,64
Sam Mendes,65
Susan Johnson,66
Aaron Sorkin,67
Gabriela Cowperthwaite,68
Vince Gilligan,69
Oriol Paulo,70
Tomm Moore,71
David Ayer,72
Sam Raimi,73
Richard Curtis,74
Stephen Chow,75
Abdellatif Kechiche,76
Alfonso Cuarón,77
David Zucker,78
Jeff Nichols,79
Kelly Fremon Craig,80
Ashutosh Gowariker,82
Eli Craig,83
Lana Wachowski,84
Lilly Wachowski,84
Fernando Meirelles,85
Edward Zwick,86
Sean Baker,87
Ava DuVernay,88
S.S. Rajamouli,89
Josh Lowell,90
Peter Mortimer,90
Craig Brewer,91
David Yates,92
Galder Gaztelu-Urrutia,93
Bong Joon Ho,94
John Lee Hancock,96
Bryan Fogel,97
David Gelb,98
Tim Burton,99
Mike Johnson,99
Cameron Crowe,100
Armando Iannucci,101
Martin Campbell,102
Mark Herman,103
Phil Johnston,105
Rich Moore,105
Benny Safdie,106
Josh Safdie,106
Wilson Yip,107
Mark Osborne,108
James Ponsoldt,109
S.S. Rajamouli,110
David Slade,111
Rajkumar Hirani,112
Sam Hargrave,113
Yorgos Lanthimos,114
Derek Cianfrance,115
Zoya Akhtar,116
Jeremy Saulnier,117
Jennifer Yuh Nelson,118
Ethan Coen,119
Joel Coen,119
Matt Reeves,120
Chang-dong Lee,121
Steven Spielberg,122
Byron Howard,123
Chris Williams,123
Hideaki Anno,124
Kazuya Tsurumaki,124
Kevin Smith,125
Ron Clements,126
John Musker,126
Nattawut Poonpiriya,127
Robin Hardy,128
Tom Ford,129
Ted Demme,130
Noah Baumbach,131
Claude Barras,132
Chris Smith,133
Anurag Basu,134
Noah Baumbach,135
Sydney Pollack,136
Ron Howard,137
Danny Boyle,138
Ron Underwood,139
Kirk DeMicco,140
Chris Sanders,140
Steven Knight,141
Jay Karas,142
David Mackenzie,143
Dee Rees,144
Jay Roach,145
Jeremy Saulnier,146
Roland Emmerich,147
Alejandro G. Iñárritu,148
Ruben Östlund,149
Mike Flanagan,150
Gavin O'Connor,151
Ashutosh Gowariker,152
Tomas Alfredson,153
Robert Eggers,154
Vishal Bhardwaj,155
R. Balki,156
Mike Flanagan,157
Shekhar Kapur,158
Lana Wilson,159
Marc Forster,160
Jérémy Clapin,161
Grant Sputore,162
Hayao Miyazaki,163
André Øvredal,164
Orlando von Einsiedel,165
Richard LaGravenese,166
Paul Thomas Anderson,167
Ethan Coen,168
Joel Coen,168
David Michôd,169
Nora Twomey,170
Chiwetel Ejiofor,171
Anubhav Sinha,172
Yorgos Lanthimos,173
John Hillcoat,174
Karan Johar,175
Tim Burton,176
Zach Lipovsky,177
Adam B. Stein,177
Jon Olb,178
Madeleine Parry,178
Martin Campbell,179
Barry Levinson,180
Kurt Wimmer,181
Sarah Smith,182
Barry Cook,182
Francis Ford Coppola,183
Evgeny Afineevsky,184
Nahnatchka Khan,185
Neil Jordan,186
Steven Spielberg,187
Ric Roman Waugh,188
Karyn Kusama,189
J.C. Chandor,190
Adam McKay,191
Shakun Batra,192
Ildikó Enyedi,193
Rob Burnett,194
James Wan,195
Mike Binder,196
Michael Bay,197
Martin Campbell,198
Tom Hooper,199
Colm McCarthy,200
Susanne Bier,201
Gore Verbinski,202
Scott Cooper,203
Nagraj Manjule,204
Jay Roach,205
Daniel Lindsay,206
T.J. Martin,206
Mike Mills,207
Nikkhil Advani,208
Dan Kwan,209
