country,show_id
United States,s1
South Africa,s2
India,s5
United States,s8
Ghana,s8
Burkina Faso,s8
United Kingdom,s8
Germany,s8
Ethiopia,s8
United Kingdom,s9
United States,s10
Germany,s13
Czech Republic,s13
United States,s16
Mexico,s18
Turkey,s22
India,s25
Australia,s26
United States,s28
United States,s29
United States,s30
India,s30
France,s30
United Kingdom,s33
Finland,s38
China,s39
Canada,s39
United States,s39
India,s40
United States,s41
United States,s42
United States,s43
United States,s44
United States,s45
South Africa,s47
United States,s47
Japan,s47
United States,s49
Nigeria,s50
India,s51
Japan,s52
Japan,s53
Japan,s54
Japan,s55
United States,s56
Japan,s57
Japan,s58
Japan,s59
Japan,s60
Japan,s61
Japan,s62
Japan,s63
Japan,s64
United Kingdom,s66
India,s67
United States,s68
India,s70
United Kingdom,s73
Nigeria,s74
Japan,s77
United States,s82
United States,s83
Nigeria,s85
Spain,s91
United States,s91
France,s92
Belgium,s93
United Kingdom,s95
United States,s95
United States,s96
United Kingdom,s96
United States,s97
United States,s98
United Kingdom,s99
France,s100
United States,s100
United States,s102
South Korea,s105
India,s106
United States,s107
United States,s108
Australia,s109
Spain,s110
United States,s112
Singapore,s112
India,s115
United Kingdom,s116
Australia,s116
France,s116
India,s117
United Kingdom,s118
United States,s118
India,s119
Australia,s121
United Kingdom,s123
Australia,s123
France,s123
United States,s123
South Korea,s125
United States,s126
India,s127
United States,s128
Canada,s128
Germany,s130
United States,s130
United States,s132
South Africa,s134
United States,s134
United States,s135
Mexico,s135
United States,s136
Italy,s136
France,s136
Japan,s136
United States,s137
Italy,s137
Romania,s137
United Kingdom,s137
Australia,s138
United States,s138
United States,s139
United States,s140
Argentina,s141
Venezuela,s141
United States,s142
United Kingdom,s142
Canada,s142
Germany,s143
United States,s143
United States,s144
United States,s145
United States,s146
United States,s147
United States,s150
United States,s151
China,s152
Hong Kong,s152
United States,s153
Russia,s154
Japan,s155
United Kingdom,s156
United States,s156
United States,s157
Canada,s158
United States,s159
Hong Kong,s160
United States,s161
United States,s162
United States,s163
China,s163
Hong Kong,s163
United States,s164
United States,s165
Italy,s167
United States,s167
United States,s168
Canada,s168
United States,s169
United States,s170
United States,s171
United States,s172
United States,s173
Germany,s173
United States,s174
United States,s175
United States,s176
United States,s177
United Kingdom,s178
United States,s178
United States,s179
United States,s180
United States,s183
United States,s184
United States,s185
France,s189
India,s191
United Kingdom,s192
Canada,s192
United States,s192
India,s193
,s194
South Korea,s194
India,s196
Nigeria,s199
India,s200
India,s201
India,s202
India,s203
India,s204
India,s205
India,s206
India,s207
India,s208
India,s209
India,s210
India,s211
India,s212
Ireland,s213
India,s216
India,s217
India,s218
Japan,s220
United States,s221
United States,s228
United States,s229
United Kingdom,s229
United States,s230
