,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
0,@HAPPlESTGUY / the real all of us are dead,0.417, 0.583, 0.0, -0.6486, 0.0, 0.0, 0.0, 1.0, 0.0
2,gilmore girls all of us are dead girl from nowhere https://t.co/IUNlhuYgD5,0.301, 0.699, 0.0, -0.6486, 0.0, 0.0, 0.0, 0.0, 1.0
4,@kaihunloe @kdrama_menfess Squid game sama all of us are dead,0.381, 0.619, 0.0, -0.6486, 0, 0, 0, 0, 0
6,mirando all of us are dead,0.462, 0.538, 0.0, -0.6486, 0, 0, 0, 0, 0
7,all the zombie extras in all of us are dead are not getting paid enough to knock down whole ass doors idc if it’s just a stunt door😒,0.238, 0.762, 0.0, -0.8316, 0.0, 0.67, 0.0, 0.33, 0.0
8,Second ep of all of us are dead is done...........I rlly like zombie shows and games ok.........,0.197, 0.688, 0.115, -0.4215, 0, 0, 0, 0, 0
10,"[220311] Knowing Bros Preview with the All Of Us Are Dead Cast 

Don't forget to tune in on their episode!

🗓 220312
🕗 8:40PM KST / 7:40PM PHT 

#박지후 #AllOfUsAreDead #PARKJIHU https://t.co/XOba7P7YD4",0.157, 0.786, 0.057, -0.6028, 0.5, 0.0, 0.0, 0.5, 0.0
12,IM WATCHING ALL OF US ARE DEAD,0.417, 0.583, 0.0, -0.6486, 0.0, 0.0, 0.0, 0.0, 1.0
13,"8. all of us are dead

• 22.02
• 4/5 ★ https://t.co/kRP703jUC1",0.35, 0.65, 0.0, -0.6486, 0, 0, 0, 0, 0
15,i wish i could rewatch all of us are dead for the first time again 🥺 what a neat show,0.187, 0.565, 0.248, 0.1027, 0.0, 0.0, 0.0, 0.0, 1.0
16,"@linosbbles Is he hinting something? Hhmmmmmm

Omg leeknow in all of us are dead ss2",0.249, 0.751, 0.0, -0.6486, 0.0, 0.0, 0.0, 0.0, 1.0
17,"All of us are dead

#VerHamLOVeFriDay",0.518, 0.482, 0.0, -0.6486, 0, 0, 0, 0, 0
18,@convomf All of us are dead sie,0.462, 0.538, 0.0, -0.6486, 0, 0, 0, 0, 0
20,Alice in borderland Pisa em round6 e all of us are dead. https://t.co/jYPPs8eoSZ,0.281, 0.719, 0.0, -0.6486, 0, 0, 0, 0, 0
23,EU TO MORRENDO DE RAIVA COM ALL OF US ARE DEAD,0.301, 0.699, 0.0, -0.6486, 0, 0, 0, 0, 0
25,"Assistir ""All Of Us Are Dead"" muito boooom. 🤭👏 https://t.co/36b3vFONaj",0.381, 0.619, 0.0, -0.6486, 0, 0, 0, 0, 0
27,my dad asked me if i wanted to watch the next episode of all of us are dead and i was just like pause i can’t even make out the words that your saying rn i’ve rewritten this tweet twice already bc i’ve made so many mistakes trying to write,0.132, 0.821, 0.047, -0.6786, 0.14, 0.14, 0.0, 0.43, 0.29
28,"Finally got around to watching ""All of us are Dead"" and I'm annoyed it took me so long. I'm normally up to date with foreign drama's but the hectic start to February left me with no downtime really. Good spin on the zombie genre with the politics and feuds of highschool kids.",0.171, 0.759, 0.071, -0.62, 0.1, 0.3, 0.2, 0.1, 0.3
29,"[031122]

Ha Seunglee with all of us are dead casts on Knowing Brothers preview!

#HaSeungri #하승리 #张河莉 #AllOfUsAreDead #LeeEunsaem #이은샘 #ParkJihu #YoonChanYoung #YooInsoo #LimJaeHyuk https://t.co/8CAC51doBJ",0.242, 0.632, 0.126, -0.4926, 0.0, 0.0, 0.0, 0.0, 1.0
30,@ppredictors all of us are dead happening irl?,0.417, 0.583, 0.0, -0.6486, 0, 0, 0, 0, 0
31,ep 3 of all of us are dead and HELLO!;8;73&amp;:&amp; did this girl just give birth . or is this a hallucination,0.203, 0.797, 0.0, -0.68, 0.0, 0.5, 0.0, 0.0, 0.5
34,"//ALL OF US ARE DEAD SPOILER

OH MY GOD THIS SCENE oh my god I love THEM (chlm) 😭💖
namra and suhyeok are cute pls this is so good https://t.co/uFXJNnrckM",0.108, 0.478, 0.414, 0.879, 0.0, 0.0, 0.5, 0.0, 0.5
35,the show all of us are dead had me spiraling OMGNDSKSMSKAJ https://t.co/6sq5kVzfuE,0.281, 0.719, 0.0, -0.6486, 0, 0, 0, 0, 0
