,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
0,Money heist deserved awards tbh,0.0, 0.571, 0.429, 0.4588, 0, 0, 0, 0, 0
1,Money Heist really got me fucked up.,0.437, 0.563, 0.0, -0.6872, 0.0, 0.0, 0.5, 0.0, 0.5
3,ok lemme continue watching Money Heist,0.0, 0.694, 0.306, 0.296, 0.0, 0.0, 0.0, 0.0, 1.0
5,so sad knowing i'll probably never watch another netflix show better than money heist &amp; alice in borderland,0.159, 0.704, 0.136, -0.1263, 0.0, 0.25, 0.0, 0.25, 0.5
6,money heist https://t.co/R4ycq5HfLB,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
7,"I did not just go back to my store to take my VVIP Heejin photo card with me, on my trip…anyways I’ll be snowboarding in Colorado 🏂
#LOONA #loonathefab #heejin #kpop #MoneyHeist #MyLove https://t.co/SQOjNvRRrc",0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
8,@moviemenfes Money heist sii,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
9,@SkulltoonsNFT yeah!@Thai_tea20 @Matrix59289825 @Pandabear081,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
10,@SkulltoonsNFT lets go!,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
12,"Coming soon exclusively on Afroflix™️, Money Heist👺. What belongs to us should be with us! Should be simple enough to take it back… should no enemies of progress stand in the way.

Tickets are in the linktree in the bio. See you in a few weeks! 🎬🎭🌍 https://t.co/BqQjuMVrud",0.116, 0.83, 0.054, -0.4912, 0.0, 0.5, 0.25, 0.0, 0.25
15,Money Heist is a really solid show. That’s the tweet.,0.0, 0.809, 0.191, 0.2247, 0.0, 0.0, 0.0, 0.0, 1.0
16,@Tessygal I'm the one that directed money heist,0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
17,"@KurtBenkert Finished now, but did you climb up on the Money Heist train?",0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
20,"I've just watched  S03 | E03 of Money Heist ! 
— 48 Meters Underground #lacasadepapel —  https://t.co/4j3nAGeINS #tvtime https://t.co/XjItKJtt4c",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
22,"Power, Money heist , prison break and the refuse dumps https://t.co/TKFYw8NxuJ",0.539, 0.461, 0.0, -0.802, 0.33, 0.0, 0.0, 0.33, 0.33
23,"The oldest statement about history is:
“History repeats itself.”
That statement is virtually meaningless, unless we humans collectively grasp the concept of financial influence and exactly who those influencers really are! 
#EatTheRich 
#MoneyHeist https://t.co/yt1RvoDb6I",0.096, 0.904, 0.0, -0.4926, 0.25, 0.5, 0.0, 0.0, 0.25
24,money heist https://t.co/4d6amVnDLs,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
25,"@That_BoyZee Power 
Money heist 
The Witcher",0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
26,@That_BoyZee Game of thrones and money heist,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
28,I've just watched episode S04 | E04 of Money Heist! https://t.co/fpceGnU54R #tvtime https://t.co/nHw2ybjAs4,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5
29,@Its_Neze Uptill now money heist 💔,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
30,@lmlyimh Queen’s Gambit is #1.  Money Heist comes as a close 2nd,0.0, 1.0, 0.0, 0.0, 0.0, 0.33, 0.33, 0.0, 0.33
32,Money Heist 👏,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
33,"I've just watched  S03 | E02 of Money Heist ! 
— Aikido #lacasadepapel —  https://t.co/rdzvPF5doP #tvtime https://t.co/kCfA8PqkOm",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
34,"Money heist 
Peaky blinders abi binder 
Prison break 
Blackish https://t.co/py8WWpopem",0.268, 0.732, 0.0, -0.5106, 0.0, 0.0, 0.0, 0.0, 1.0
35,@OL5ON not that new but money heist is definitely a great show! complete seasons in case you wanna binge watch it.,0.0, 0.642, 0.358, 0.8883, 0.0, 0.25, 0.25, 0.25, 0.25
36,@SaddickAdams 😂 unless we hire the Professor from Money Heist to interpret for us. I can't think far.,0.0, 1.0, 0.0, 0.0, 0.0, 0.67, 0.0, 0.33, 0.0
37,"@TayaMonae Watched Lucifer twice, finished The 100, money heist and wentworth… guess I’ll see what Abbott Elementary about.",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
38,"The fantastic screen writing in @TheLastKingdom is phenomenal, in every season so far. 

The only show that I can think could match it is Money Heist, @TheBoysTV on Amazon Prime or @CobraKaiSeries.",0.0, 0.831, 0.169, 0.6486, 0.0, 0.4, 0.2, 0.0, 0.4
39,Money heist https://t.co/BC3NuLG0bj,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
40,"@BitchYuBuggin Lucifer, Abbott elementary, the 100, money heist, wentworth",0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
41,I've just watched episode S05 | E04 of Money Heist! https://t.co/70gfTvZHjE #tvtime https://t.co/2VEEAMQ18D,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5
44,I made over $2 BILLION on GTA 5! #gta #cayoperico #money #heist (@RockstarGames) https://t.co/BFoxB26a6y,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
45,"I've just watched  S03 | E01 of Money Heist ! 
— We're Back #lacasadepapel —  https://t.co/xjwG6G87w8 #tvtime https://t.co/CsUM7umA53",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
