,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
0,"@DavidHaugh I want to see if he can move anyone else. 
Whitehair
Goldman
Trevathan?
Almost no chance on any of them, but stranger things are happening this offseason (R Wilson,more Watson talk, etc.)",0.047, 0.872, 0.081, 0.0148, 0.0, 0.5, 0.0, 0.0, 0.5
2,WHY IS NETFLIX TALKING ABOUT STRANGER THINGS SO MUCH LATELY IM SCARED https://t.co/pUWHvvYUYN,0.195, 0.805, 0.0, -0.4404, 0.0, 0.0, 0.0, 0.5, 0.5
3,stranger things s4 cast transformations!!!! 💥 https://t.co/4wqsQt30cx @YouTubeより,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
4,@_hedvvig me when i post stranger things stuff 15 times in a row,0.0, 1.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5
5,My kid just said “oh yeah I forgot Stranger Things was set in the 1900s” and like… bruh why you gotta say it like that. You’re RIGHT but like… come on man…,0.0, 0.893, 0.107, 0.3291, 0.14, 0.29, 0.14, 0.0, 0.43
6,jk it’ll def be stranger things again,0.0, 0.759, 0.241, 0.2263, 0.0, 0.0, 0.0, 0.0, 1.0
10,@editorspartin Stranger Things and Invincible not in top tier is disrespectful for no reason,0.223, 0.589, 0.188, 0.1048, 0.0, 0.0, 0.0, 0.33, 0.67
11,@rosieverything total o hopper de stranger things,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
12,"@Crypto2022Pay @GatorsScott Don’t see it unless he’s hired away from us. Stranger things have happened, of course",0.0, 1.0, 0.0, 0.0, 0.33, 0.33, 0.0, 0.0, 0.33
15,Success from Dr. Stranger Things#1437 https://t.co/a14p3Bt5HP,0.0, 0.575, 0.425, 0.5719, 0.0, 0.0, 0.0, 0.5, 0.5
17,I just want Stranger Things season 4,0.0, 0.755, 0.245, 0.0772, 0.0, 0.0, 0.0, 0.0, 1.0
21,"I’ve forgotten how much of a treasure S1 of Stranger Things is. Every time an episode ends I get sad because I get so immersed in the episode. 

We have to stay on pace and not binge them too much because we want to be finishing S3 just before S4 begins.",0.095, 0.838, 0.067, -0.3612, 0.25, 0.12, 0.0, 0.38, 0.25
22,why cant this month finish quickly like bro i just i wanna watch stranger things 4,0.0, 0.828, 0.172, 0.3612, 0.0, 0.0, 0.0, 0.5, 0.5
23,"Stranger things

#VerHamLOVeFriDay",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
24,@sesvete17 Stranger things have happened.,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
27,I would decide to rewatch #StrangerThings 🤦🏽‍♀️,0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
28,Starting my Stranger Things rewatch https://t.co/V2MQV9f1qb,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
29,"@KevinRKrause Or, a Ted Lasso speech in the upside-down. (My kids are watching Stranger Things... again)",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.67
32,@joycelhopper cuz Netflix has been posting stranger things related stuff more than usual lately…,0.0, 1.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5
33,"Good
Mythic Quest (@mythic_quest)
F Is For Family (@FIFFNetflix)
Invincible (@InvincibleHQ)
A Series of Unfortunate Events (@Unfortunate)
Strangers Things (@Stranger_Things)
The Afterparty
10 Year Old Tom (@TenyearoldTom)
Schitts Creek (@SchittsCreek)
Space Force (@realspaceforce",0.103, 0.687, 0.21, 0.4767, 0.0, 0.2, 0.2, 0.2, 0.4
34,Netflix has been a lot of stranger things related stuff lately… (3 things on Netflix geeked in the last 24 hours) im gonna scream and yell and cry and scream again and and /pos https://t.co/nyzZsMl6Tn,0.227, 0.773, 0.0, -0.8176, 0.2, 0.0, 0.0, 0.2, 0.6
35,"What's #Best on https://t.co/3PCYANTbjW ?
Stranger Things Season 4: Why Fans Think Millie Bobby Brown Could Die
https://t.co/Z1D2Vg1jSa
#people https://t.co/9tXDTxXPPh",0.196, 0.804, 0.0, -0.5994, 0.0, 0.0, 0.0, 0.33, 0.67
36,"#Best of the day on https://t.co/QPREvmzAkB
Stranger Things Season 4: Why Fans Think Millie Bobby Brown Could Die
https://t.co/Z1nUVPAoBG
#people",0.187, 0.813, 0.0, -0.5994, 0.0, 0.0, 0.25, 0.25, 0.5
37,"What's #Best on https://t.co/TR9VbCJxcj ?
Stranger Things Season 4: Why Fans Think Millie Bobby Brown Could Die
https://t.co/aTIxrX7s7b
#people",0.206, 0.794, 0.0, -0.5994, 0.0, 0.0, 0.0, 0.33, 0.67
