,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
0,CE HACHE I!!!! https://t.co/c8ICLCr77T,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
3,"@HarperStephens_ Milestone Compendium.
A collection with the first arc of New Teen Titans by Wolfman and Perez.
Usagi Yojimbo by Fantagraphics Vol. 2.
I love them all!",0.0, 0.837, 0.163, 0.6696, 0.25, 0.25, 0.25, 0.0, 0.25
35,Another set of this shit I unironically wanna k1ll myself,0.347, 0.653, 0.0, -0.6428, 0.0, 0.33, 0.0, 0.33, 0.33
41,"Geographical Names Board of Canada seeks Inuit, Métis advisors https://t.co/B6XDDcAxbI",0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
42,Travellers find many Yellowknife flights are booked solid https://t.co/eB9NK8gKDD,0.0, 0.833, 0.167, 0.1531, 0, 0, 0, 0, 0
44,Highlights from 2022’s Anonymous Art Show https://t.co/6CPNYAYMkM,0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
46,This isn't a match this is fvcking hell,0.434, 0.566, 0.0, -0.6808, 0, 0, 0, 0, 0
47,Rental prices in the NHL are as high as the real estate market in Toronto,0.0, 1.0, 0.0, 0.0, 0.0, 0.67, 0.0, 0.33, 0.0
53,Flood restoration specialist suing airline over Fort Simpson work https://t.co/MK55Q9PvZf,0.189, 0.811, 0.0, -0.2732, 0.0, 1.0, 0.0, 0.0, 0.0
59,Clark Builders holds aquatic centre accessibility consultations https://t.co/22MYQYT7X6,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
61,@IamJulito Doughnut should be on this...,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
65,"Court no-show due to misunderstanding, YK businessman says https://t.co/f4tP6O7U61",0.259, 0.741, 0.0, -0.4215, 0.0, 0.5, 0.0, 0.0, 0.5
66,@cibelesmolinaa_ literal,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
74,Ottawa truck convoy cost the city more than C$36m – mainly in police expenses https://t.co/4x69wPlHH2,0.0, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5
76,Hate crimes against Indigenous people spiked 152 per cent in 2020: report: https://t.co/EfvdOkXZPm,0.236, 0.764, 0.0, -0.5719, 0.0, 0.0, 0.0, 1.0, 0.0
97,"@ubi_works @joypathall I don't understand why anyone gives these old guys a platform to talk!! As Prime Minister, Mulroney held a position to implement solutions to poverty and homelessness!!! His wife tried to sell dishes bought by taxpayers back to taxpayers? He scooped up a brown bag full of money? https://t.co/VmzZlkx0WN",0.097, 0.868, 0.034, -0.6283, 0.0, 0.5, 0.0, 0.5, 0.0
99,@BallersO Ok this is great meme material,0.0, 0.388, 0.612, 0.743, 0.0, 0.0, 1.0, 0.0, 0.0
102,"@BaraPinkRanger That's such a weird decision, did they just choose Blaze because he's part of the LGBT+ community or just because the suit looked cool?",0.068, 0.84, 0.092, 0.1531, 0.0, 0.5, 0.5, 0.0, 0.0
128,@JustFreshKicks The best V2s!,0.0, 0.308, 0.692, 0.6696, 0.0, 0.0, 0.0, 0.0, 1.0
129,@kfine39 @lexp08 I believe it’s a NCAA rule in the tourney if you’re either on the floor or front row and not team personnel or TV. First row of media apparently is required to wear them but row behind isn’t so with cheerleaders on floor I guess that’s it?,0.0, 0.93, 0.07, 0.4969, 0.0, 0.17, 0.0, 0.17, 0.67
143,them foam runners looking pretty nice to me lately,0.0, 0.538, 0.462, 0.7184, 0.0, 0.0, 1.0, 0.0, 0.0
144,@Meg_Mcspad Ying was not impressed,0.46, 0.54, 0.0, -0.3724, 0.0, 0.0, 1.0, 0.0, 0.0
146,@chicagobulls Sick of y’all posting this we just need to get to some Ws,0.216, 0.784, 0.0, -0.5106, 0.0, 0.0, 0.0, 1.0, 0.0
147,Juwan Howard got these guys hoopin!,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
157,"@BlunderCoom @Pochitadoll That's only the english ones, latinamerica has watched every Dragon Ball as a series more than their own parents",0.0, 1.0, 0.0, 0.0, 0.0, 0.67, 0.0, 0.0, 0.33
162,@MUGLERMIND Damn imagine being an cashier and Rihanna come to register... how tf am I supposed to play it cool???!,0.161, 0.73, 0.109, -0.2805, 0.0, 0.5, 0.25, 0.0, 0.25
184,"@CoinersTakingLs That person took the ""rare Pepe"" joke literally.",0.0, 0.732, 0.268, 0.296, 0.0, 0.0, 0.5, 0.0, 0.5
196,👑 Erik with a big stop to start the game #LeafsForever,0.239, 0.761, 0.0, -0.296, 0, 0, 0, 0, 0
199,@itzmartinaol #1 anthem singer in the league,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
200,@inrng Ufff! But nobody like Bonifazio 2 years ago in Cipressa,0.0, 0.693, 0.307, 0.5487, 0, 0, 0, 0, 0
201,Just sing the anthems. Don’t add your thing on to them,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5
224,"Life is but a dream, until today's reality smacks you in the f... More for Pisces https://t.co/Ssbgkq7Duy",0.0, 0.857, 0.143, 0.3612, 0.0, 1.0, 0.0, 0.0, 0.0
228,@MufcxPrince @lusaga2 Do we? Not me!,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
251,@Hache_Berlin @Kage50969666 @Militarylandnet But they've lost access to the sea now.,0.296, 0.704, 0.0, -0.4497, 0.0, 0.0, 0.0, 1.0, 0.0
253,@dirtydeeds100 @TheCryptoPuggle @moneytofreedom @Kage50969666 @Militarylandnet Yeah but idiots sitting at home wearing their masks will just talk shit and get angry at “Russia” to feel strong. They are just the consequence of good times: weak people. Let the bad times roll.,0.321, 0.501, 0.177, -0.8765, 0.11, 0.0, 0.22, 0.56, 0.11
