,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
1,@revsully @OGStarwarsAB All jedi know the basic moves for soresu but qui gon jinn exclusively used form 4 and didnt work on his defense as form 4 was about pressing the offense with little defense in qui gons case. Obi wan then dropped form 4 as his main style and studied soresu instead.,0.049, 0.882, 0.069, 0.0, 0.0, 0.75, 0.0, 0.25, 0.0
2,I don’t like being mean on here so I just air replies x 😌💛,0.0, 0.783, 0.217, 0.3612, 0, 0, 0, 0, 0
9,"@rahmdess27 @BTS_twt #ChickenNoodleSoup by #JHOPE feat. Beckyg is My trending Song Choice
#CNS @BTS_twt",0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
11,@rahmdess27 @BTS_twt #Yours_Jin by #BTSJIN is My trending Song Choice @BTS_twt,0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
12,@rahmdess27 @BTS_twt #Seoul_RM by #RM is My trending Song Choice @BTS_twt,0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
14,@rahmdess27 @BTS_twt #SuperTuna_Jin by #BTSJIN is My trending Song Choice @BTS_twt,0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
20,@jojoldn you caught me red handed you figured me out 🙃🙃,0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
22,@pipodelyth @_ssmoorkk27 hello,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
23,@kwamiodoom @_michaelajao I would too ngl lool,0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
31,I knew this Kit guy was oh I knew ittttttt,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
33,Flesh and buns looking at youuu,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
34,@hidup_cuma @Balakurwo @sounarun done,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
35,bottomless too yayyy🥰 https://t.co/KlV3jIdasp,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
40,"When he jinn his madness, he becomes a dude with her love https://t.co/MKLifzhD9V",0.17, 0.585, 0.246, 0.3182, 0.0, 0.0, 1.0, 0.0, 0.0
45,#GetWellSoonJin  get well soon 🥺 jinn,0.0, 0.588, 0.412, 0.2732, 0, 0, 0, 0, 0
46,@SunnySulk @ShanaIsMyLife but the lesbian selfcest !!!!!!!!!!111!11,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
47,"23: Prayers for Humanitarian Visa, Asylum Protection, Self-Determination and Rule-of-Law from Uhuru, Raila, co-conspirators and their Jinn-Theocracy GoK political-legal abuse, delayed-denied justice, outlawing, endless-persecution, rape of conscience, g... https://t.co/slcxaLqDn7",0.232, 0.679, 0.089, -0.7579, 0.0, 1.0, 0.0, 0.0, 0.0
51,Just a friendly reminder that https://t.co/8ZdHFHFbec,0.0, 0.556, 0.444, 0.4939, 0.0, 0.0, 1.0, 0.0, 0.0
52,@CentyTwt why would you do this,0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
54,Will the real Jinn Gehenam please stand up?,0.0, 0.753, 0.247, 0.3182, 0.0, 0.33, 0.0, 0.67, 0.0
56,"@lilmuteneo 💜
What kind of idea?",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
65,i wanna go into battle wit a jinn lowkey,0.302, 0.698, 0.0, -0.3818, 0.0, 0.0, 0.0, 0.5, 0.5
66,Scum bag drives around knightswood area and drumchapel hospital district,0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
69,"Born on the planet Stewjon, Kenobi was taken as the Padawan learner of Qui-Gon Jinn. Kenobi became the first Jedi in a millennium to defeat a Sith Lord when he defeated Darth Maul during the Battle of Naboo.",0.209, 0.791, 0.0, -0.8271, 0.0, 0.0, 0.0, 0.33, 0.67
77,@ApostateProphet @TeamYouTube Jinn is doing this to you 😁😆,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
79,Friday and Tuesday are deadly days brothers (me) are gonna fall on the line. Super eagles pls 😘,0.0, 0.729, 0.271, 0.6369, 0.0, 0.33, 0.33, 0.0, 0.33
83,"@CelticFC Hugh Heron knightswood Peadophile attended game last week spotted him in crowd near young girls he needs banned he is a convicted sex offender on the register for abusing teenage girls, he lives next to Bankhead primary school which is a joke,",0.182, 0.748, 0.071, -0.7351, 0.0, 0.33, 0.17, 0.17, 0.33
86,@_michaelajao asinn I can over-ree-aht if it goes left,0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
92,We could use a transport.,0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
93,"@Solemn_G @KhattabTaymiyya planet, idol, jinn etc is doing shirk, because here the qara'in indicate that this action is being done تقرّبا وتعظيما.

Likewise, if a person does sujud to the living, this could be shirk and it might not be since it could be done إكراما, like the sujud of Yusuf's family to him",0.0, 0.952, 0.048, 0.3612, 0.17, 0.67, 0.0, 0.0, 0.17
95,"Hugh Heron - Glasgow https://t.co/rc9kdui3CE 
Let out early and now lives right next to Bankhead primary school, been told he watches the kids go past on his security cameras that are facing out to street, shouldn’t be allowed,",0.0, 0.909, 0.091, 0.3612, 0.1, 0.3, 0.1, 0.4, 0.1
97,@kwamiodoom @_michaelajao Aden??,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
98,@Korioissant Don’t mind them,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
100,@jojoldn and see 5g Curtis some more I like myself,0.0, 0.715, 0.285, 0.4201, 0, 0, 0, 0, 0
106,What I would do to see Satine flashbacks and a Qui-Gon jinn force ghost in Kenobi. I will even fall back into that ditch that was full of nettles from p7 if I have to.,0.071, 0.929, 0.0, -0.3182, 0.0, 1.0, 0.0, 0.0, 0.0
107,Hugh Heron - Glasgow https://t.co/rc9kdui3CE,0.0, 0.732, 0.268, 0.0258, 0, 0, 0, 0, 0
110,"@lilmuteneo 💜
She frowns with pity seeing the poor girl alone in the rain, strutting over and taking off her hat, and placing it on the smaller girls soaked head

""Its not the best idea to be out here, especially being alone. Let's get you somewhere dry okay?""",0.241, 0.759, 0.0, -0.8926, 0.0, 0.18, 0.0, 0.45, 0.36
112,i hate talking about jinn so much so so so so much,0.27, 0.73, 0.0, -0.5719, 0.0, 0.0, 0.0, 1.0, 0.0
116,@coc0nut_ you can’t write that and not think I’ll be on imdb,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
117,@modoschronicles @LESLEYGORES @chanelbride No wonder she looks like a jinn 💀,0.253, 0.46, 0.287, 0.0772, 0.0, 0.0, 0.0, 0.0, 1.0
