,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
1,"Out of all Choi Hyunwook character, Na Woochan (Racket Boys) is still the most attractive one 🤧",0.0, 0.814, 0.186, 0.4927, 0.0, 0.5, 0.5, 0.0, 0.0
2,"- my roommate is a gumiho 5/16
- the oath of love 5/on-going
- crash landing on you 4/16
- racket boys (não lembro qual ep parei)
- business proposal 1/12",0.093, 0.761, 0.145, 0.3612, 0.0, 0.5, 0.25, 0.0, 0.25
6,"Racket Boys Ep 7 eng sub
48/95 done",0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
7,@thatoneguyalex5 thanky !!!!,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
10,@villievang @christophclarey The guy is a tool and has a severe anger management issue. He has only come back to give the ball boy a racket because of the public outburst over the incident! That’s so un-Australian!,0.187, 0.813, 0.0, -0.7835, 0.33, 0.33, 0.0, 0.33, 0.0
12,Watching racket boys cause theres a small refrence to @BTS_twt songs.....,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
14,@bie_kyuu THANKY I MISS YOU TOOOOO,0.348, 0.652, 0.0, -0.1531, 0.0, 0.0, 0.0, 1.0, 0.0
16,@JustgamingP THANKY MI AMOR,0.0, 0.333, 0.667, 0.6124, 0.0, 0.0, 1.0, 0.0, 0.0
17,@whimsican dhishejerjjd thanky love,0.0, 0.323, 0.677, 0.6369, 0.0, 0.0, 1.0, 0.0, 0.0
18,Watching #RacketBoys and dammit I love it so much,0.0, 0.588, 0.412, 0.6369, 0.33, 0.0, 0.33, 0.0, 0.33
19,@RogueAegis @KeriGergich keri already owns it,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
20,"@admol311079 @NickKyrgios @RafaelNadal Nick didn’t do it intentionally, and the racket didn’t hit the ball boy. The racket didn’t even land in the 2-3 meters radius of the ball boy. So sorry for what? Almost every tennis player does it. Nick even gave a signed racket to the ball boy after the match.",0.035, 0.965, 0.0, -0.188, 0.2, 0.6, 0.0, 0.2, 0.0
