,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
0,@theGlaug @jaskel118 @chrismcfeely There was definitely something about the mainframe assets being lost. I recall that as well. Something about needing to rebuild reboot from the ground up for that guardian code series they did a few years ago,0.059, 0.773, 0.168, 0.4939, 0.0, 0.67, 0.0, 0.33, 0.0
1,"@Variety Petition: give reboot and reboot: the guardian code some spin-off, final seasons, comics and film trilogy.",0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
2,"@PositivelyEevee Live action tv adaptations suck. First Code Lyoko Evolution (only saw 4 episodes), Reboot: The Guardian Code and now this.",0.146, 0.854, 0.0, -0.4404, 0.0, 0.5, 0.0, 0.25, 0.25
3,"disappointed #reboot 

Seen ""Reboot: The Guardian Code"" on Netflix yet?

https://t.co/eI7ZSssUor",0.279, 0.721, 0.0, -0.4767, 0.0, 0.0, 0.0, 1.0, 0.0
5,Has anyone seen the Reboot: Guardian Code Series on Netflix?,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
6,"@RiseFallNickBck And don’t forget Code Lyoko Evolution (and it’s horrible) and Reboot: The Guardian Code.
Both are the worst.",0.286, 0.714, 0.0, -0.7184, 0.25, 0.5, 0.0, 0.25, 0.0
7,"@RiseFallNickBck Ah if only Mainframe Studios listened like this when we told them ""ReBoot: The Guardian Code"" was not what we wanted (and that it would fail... which it did!).",0.0, 0.903, 0.097, 0.4199, 0.0, 0.67, 0.0, 0.33, 0.0
8,Nate has started watching Reboot: The Guardian Code and it has some VERY cringeworthy cyber-malapropisms. It is so painful.,0.172, 0.828, 0.0, -0.5777, 0.0, 0.0, 0.0, 0.5, 0.5
9,Featured #Embroidered #Cosplay #Emblem #Patch:  REBOOT : THE GUARDIAN CODE  PATCH https://t.co/aTKj5mkMnK https://t.co/L8gWO3LYaE,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
10,"Hexadecimal was the best part of ReBoot: The Guardian Code!
#ReBootMemes https://t.co/2DBlUCThZD",0.0, 0.69, 0.31, 0.6696, 0.0, 0.0, 0.0, 0.0, 1.0
11,"ReBoot: The Guardian Code hasn't been memed enough!
#ReBootMemes https://t.co/hYAUSnH7zm",0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
12,"@TornadoPhoenix @MasteroftheTDS @comic_old @TheElusiveEye1 @theoneringnet It’s fine to dislike things - heck, there’s plenty of things I dislike. The problem is when people get angry over this stuff. Like, it’s just a TV show. I didn’t like ReBoot: The Guardian Code, but I moved on rather than spending four years being angry about it",0.228, 0.68, 0.093, -0.7992, 0.38, 0.25, 0.12, 0.0, 0.25
13,"@comic_old @TheElusiveEye1 @theoneringnet @MasteroftheTDS There’s plenty of old content that you haven’t seen out there for you to watch. I really didn’t like ReBoot: The Guardian Code, but rather than spending years whinging about it, I moved on and stuck to the original ReBoot.",0.059, 0.827, 0.114, 0.3268, 0.0, 0.6, 0.0, 0.0, 0.4
14,"@MmdSmy @TheElusiveEye1 @theoneringnet It’s a perfectly applicable argument. I really didn’t like ReBoot: The Guardian Code, but rather than spending my life whinging about it online, I moved on and stuck to the original show.",0.119, 0.672, 0.208, 0.4921, 0.0, 0.8, 0.0, 0.0, 0.2
