,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
0,"Show: Resident Evil: Infinite Darkness
Episode: Episode 4",0.561, 0.439, 0.0, -0.7506, 0.0, 0.0, 0.0, 1.0, 0.0
1,"RESIDENT EVIL: Infinite Darkness
S.1 Ep.4 12:08 
God I wish that were me…",0.333, 0.417, 0.25, -0.3818, 0.0, 0.0, 0.0, 0.0, 1.0
3,I'm going to spend a day watching Resident Evil: Welcome to Racoon City then Infinite Darkness,0.299, 0.561, 0.14, -0.5267, 0.0, 0.25, 0.5, 0.0, 0.25
4,"In the Blu-Ray commentary for Resident Evil: Infinite Darkness, Jason's mutated form is referred to as Tyrant. It is aslo stated that his design reflects his feelings. 
#REBHFun https://t.co/fRQfxp1elF",0.198, 0.802, 0.0, -0.7506, 0.0, 0.0, 0.0, 0.67, 0.33
9,Resident Evil: Infinite Darkness (AC) Yugo Kanno https://t.co/9VCDy1a36E,0.561, 0.439, 0.0, -0.7506, 0, 0, 0, 0, 0
10,@NetflixGeeked What happened to Resident Evil Infinite Darkness?,0.561, 0.439, 0.0, -0.7506, 0, 0, 0, 0, 0
11,Resident Evil: Infinite Darkness | Official Trailer | Netflix https://t.co/HpPCfeXg5W,0.516, 0.484, 0.0, -0.7506, 0, 0, 0, 0, 0
13,day 314 // resident evil: infinite darkness promotional art https://t.co/KRRbmtClDJ,0.478, 0.522, 0.0, -0.7506, 0.0, 0.0, 1.0, 0.0, 0.0
14,Going from Resident Evil Infinite Darkness back to Code: Veronica cutscenes and it's like a whiplash. They did Claire SO DIRTY.,0.354, 0.559, 0.087, -0.8244, 0.5, 0.5, 0.0, 0.0, 0.0
15,"CONFIRMED: Netflix's new live-action Resident Evil series premieres on July 14th.

I really hope this turns out to be good. Infinite Darkness was meh and Welcome To Raccoon City was a letdown. Hopefully this show redeems itself 😬

#ResidentEvil #REBHFun https://t.co/3l1eogwKYu",0.159, 0.598, 0.243, 0.624, 0.0, 0.33, 0.33, 0.0, 0.33
17,Infinite Darkness... Welcome to Racoon City... This? What a terrible time to be a Resident Evil fan. 😥 https://t.co/qSrf71uXMh,0.302, 0.484, 0.214, -0.4939, 0.0, 0.5, 0.5, 0.0, 0.0
18,"@rqbinsparkles @cineIove i dont trust netflix with the resident evil ip after infinite darkness, im terrified",0.593, 0.407, 0.0, -0.9202, 0.0, 1.0, 0.0, 0.0, 0.0
19,"@RuleTimeSpace I can’t wait to see it too, to be completely honest. Netflix shows always seem to amaze. It would also be cool if we got more episodes for Resident Evil: Infinite Darkness, too. Can’t get enough of Resident Evil animations 😊",0.203, 0.62, 0.177, -0.3415, 0.0, 0.14, 0.14, 0.43, 0.29
20,Video: Netflix releases ‘Resident Evil: Infinite Darkness’ trailer https://t.co/NuBD405FdY,0.386, 0.614, 0.0, -0.6597, 0, 0, 0, 0, 0
22,@AlfredoPlays Have you seen Resident Evil Infinite Darkness?,0.561, 0.439, 0.0, -0.7506, 0, 0, 0, 0, 0
24,NERDS REACT RESIDENT EVIL INFINITE DARKNESS https://t.co/6ILjQSK3PR,0.561, 0.439, 0.0, -0.7506, 0.0, 1.0, 0.0, 0.0, 0.0
25,"@thegameawards There are so much Resident Evil movies, like wayyyy to much. They didn't even finish Infinite Darkness and ""Welcome to Raccoon City"" will be like 8 months old so it just doesn't make any sense to me",0.156, 0.727, 0.117, -0.3947, 0.0, 0.0, 0.0, 1.0, 0.0
27,"@Romudeth Mixed feelings about it. More than 1/2 of the shows that are based on video games/old cartoon/Manga Ip
IPs on Netflix are garbage. Let's hope this will be more Witcher like than Resident Evil: Infinite Darkness.  🙏",0.145, 0.726, 0.129, -0.1832, 0.0, 0.33, 0.0, 0.67, 0.0
28,resident evil infinite darkness (2021) https://t.co/XrB7NbzS5P,0.681, 0.319, 0.0, -0.7506, 0, 0, 0, 0, 0
29,"@NetflixGeeked Let’s go!! Lance Riddick is the man! Great to see him in the Resident Evil series, loved infinite darkness, live action series should be dope 🙌",0.176, 0.579, 0.245, 0.5386, 0.0, 0.2, 0.4, 0.2, 0.2
32,"I have switched from Pokémon to Resident Evil: Infinite Darkness and without looking anything up and using my very limited RE knowledge, I'm gonna take a wild guess and say that this series leads up to RE6

Also hello Leon and Claire, lovely to see you both, as always~",0.155, 0.776, 0.069, -0.5849, 0.0, 0.0, 0.25, 0.0, 0.75
33,@GamerThumbTV hey Fabian I just saw resident evil infinite darkness and I’m wondering where does that fit into the timeline?,0.268, 0.628, 0.105, -0.5994, 0.0, 0.0, 0.33, 0.0, 0.67
34,"DM CHANNEL (DetectiveResidentEvil) สปอยเรสซิเดนท์ EP239 : ความลับผู้กำกับ Resident Evil Infinite Darkness (2021) by DM CHANNEL #ResidentEvil  #CAPCOM #ResidentEvil6 #Netflix  #ResidentEvilRevelations #REBHFun #นักสืบเรสซิเดนท์อีวิล

https://t.co/WCSBQYHs7b https://t.co/53ltezxQRF",0.348, 0.652, 0.0, -0.7506, 0.0, 1.0, 0.0, 0.0, 0.0
35,"leon s kennedy in resident evil infinite darkness supermassive black hole - muse edit fancam

#ResidentEvil #LeonKennedy https://t.co/387NqVDRwW",0.348, 0.652, 0.0, -0.7506, 0.0, 0.0, 0.0, 0.5, 0.5
36,@JDscramble425 Sounds like Resident Evil Infinite Darkness,0.538, 0.252, 0.21, -0.5994, 0, 0, 0, 0, 0
37,"Resident Evil: Infinite Darkness

Leon and Patrick S. Kennedy https://t.co/Mf6io1pBU3",0.444, 0.556, 0.0, -0.7506, 0, 0, 0, 0, 0
40,resident evil infinite darkness render (2021) https://t.co/oENO9aVhtQ,0.615, 0.385, 0.0, -0.7506, 0.0, 0.0, 0.0, 0.0, 1.0
41,I've just watched episode S01 | E04 of Resident Evil: Infinite Darkness! https://t.co/lqWrdBDtCt #tvtime https://t.co/MwjhDC1NmR,0.378, 0.622, 0.0, -0.7712, 0.0, 0.0, 0.0, 0.5, 0.5
42,@ninoboxer Resident Evil: Infinite Darkness was good,0.52, 0.244, 0.236, -0.5423, 0.0, 0.0, 1.0, 0.0, 0.0
43,"Wooooooooow did they just forget about Resident Evil Infinite Darkness then???

https://t.co/N41NJ06q1z https://t.co/ha9SjEDX2w",0.469, 0.531, 0.0, -0.8334, 1.0, 0.0, 0.0, 0.0, 0.0
44,"Seen “RESIDENT EVIL: Infinite Darkness” on Netflix yet?

https://t.co/YhPtXDVUYx",0.386, 0.614, 0.0, -0.6597, 0, 0, 0, 0, 0
45,"@DowdEdward There’s a movie with that storyline on #Netflix called Resident Evil: Infinite Darkness. 

There’s a movie with that storyline on #Amazon Prime called #Utopia. 

Both movies were created BEFORE #Covid.",0.218, 0.714, 0.068, -0.6597, 0.0, 1.0, 0.0, 0.0, 0.0
46,When Does Resident Evil: Infinite Darkness Season 1 Premiere? Release Date on Netflix https://t.co/zjn8d0fYqd,0.368, 0.632, 0.0, -0.7506, 0, 0, 0, 0, 0
47,"Say it louder to the people in the back! Resident Evil Damnation is the best RE CGI movie out of all 4. (Infinite Darkness failed miserably, don't get me start)
https://t.co/Nsi6KQfkbI",0.372, 0.535, 0.094, -0.9098, 0.0, 0.0, 0.0, 0.33, 0.67
48,resident evil infinite darkness (2021) https://t.co/H5ripUBGoh,0.681, 0.319, 0.0, -0.7506, 0, 0, 0, 0, 0
52,i wanted to watch resident evil infinite darkness omw home from vacation but im up since 2am i think im just gonna pass out in the car,0.154, 0.846, 0.0, -0.4939, 0.0, 0.0, 0.0, 0.33, 0.67
53,Leon in Resident evil: infinite darkness &gt;&gt;&gt; https://t.co/fY4F7OBXWk,0.561, 0.439, 0.0, -0.7506, 0, 0, 0, 0, 0
54,I've just watched episode S01 | E01 of Resident Evil: Infinite Darkness! https://t.co/16fZ3TXZzH #tvtime https://t.co/hgyCoWi4pF,0.378, 0.622, 0.0, -0.7712, 0.0, 0.0, 0.0, 0.5, 0.5
55,"PS: I’m not talking about Welcome to Raccoon City— that movie was terrible as was this one. 

I’m talking about the entire CGI movies they did. &amp; the Resident Evil: Infinite Darkness TV show they brought out last year. THOSE are good.",0.235, 0.708, 0.057, -0.8434, 0.0, 0.4, 0.4, 0.2, 0.0
57,tags // #leonskennedy edit resident evil vendetta infinite darkness fancam https://t.co/Y5jgSdVkhx,0.478, 0.522, 0.0, -0.7506, 0, 0, 0, 0, 0
58,Wish they would make season 2 of infinite darkness resident evil #REBH25th #REBHFun #CAPCOM https://t.co/D8h3sdvd3g,0.374, 0.468, 0.158, -0.5719, 0.0, 0.5, 0.0, 0.5, 0.0
