,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
0,"The little sparrow is the sweetest creation of God. The chirpy sound makes the morning refreshing and soul soothing. Let's save these tiny creatures by providing food and shelter on the rooftop or terrace.
St Dr Gurmeet Ram Rahim Singh Ji
Dera Sacha Sauda
#WorldSparrowDay https://t.co/l0iNjOpk5E",0.0, 0.809, 0.191, 0.8271, 0.0, 0.0, 0.2, 0.4, 0.4
1,"@PeytonReads How fun, Peyton! One day outside my workplace I knelt 2look at some tiny creatures on the sidewalk. A coworker came along &amp; asked what I was doing. He knelt &amp; watched them too. We talked about what they were doing. I said, ""I wonder who's watching us."" Kind of the same thing. 😂",0.0, 0.926, 0.074, 0.5562, 0.0, 0.1, 0.3, 0.0, 0.6
2,Abercrombie &amp; Very tiny fetid indescribable tiny creatures caught on camera &amp; Fitch,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
3,"Eddie, recently robbed by tiny creatures: ""have you guys seen my straight razor?""
Richie on bevs speaker phone: ""you shave with a straight razor? Are you a murderer?""
Eddie: ""you dont get to throw stones you shave with a 2 dollar bic.""
Bev: ""I shave with those too! Richie twins!""",0.0, 0.89, 0.11, 0.6025, 0.0, 0.0, 0.0, 0.0, 1.0
4,@JustAMomNamedMP @melsap66 @Chickalettas @Appleofmyeye_H the tiny creatures represent aussie is not overpopulated yet.  ☺,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
5,"it looks like an australian map. zoom it and you will see the tiny creatures swimming. 19mar22
in largs bay jetty.
@JustAMomNamedMP @melsap66 @Chickalettas @Appleofmyeye_H https://t.co/xr4ae5JUMF",0.0, 0.894, 0.106, 0.3612, 0, 0, 0, 0, 0
6,I LOVE NED SO MUCH I LOVE TINY CREATURES THEY ARE SO CUT,0.143, 0.418, 0.439, 0.769, 0.0, 0.0, 1.0, 0.0, 0.0
7,"namjoon might be the most purest and genuine human I'll ever know .. he can literally get anything by snap of his fingers yet he chooses to chase after cute little things such as stickers ,, plants , tiny creatures (crabs,frogs).. he finds love and joy in everything https://t.co/dQfPi2pnAa",0.0, 0.792, 0.208, 0.9001, 0.14, 0.0, 0.29, 0.14, 0.43
8,"Signs and spotting tips
You would have to be incredibly lucky to spot a dormouse in the wild, as these tiny creatures are very rare and spend most of their time either asleep or high up in the trees. You might spot some signs of them however. https://t.co/tU9wl7v0Ys",0.0, 0.937, 0.063, 0.4754, 0.15, 0.62, 0.08, 0.08, 0.08
9,tiny creatures 🥰 tiny tiny,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
