,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
0,How do on people on too hot to handle immediately know what the show is when they see Lana but aren’t suspicious enough to realize a show called pleasure island isn’t real?!,0.086, 0.771, 0.142, 0.4753, 0.0, 0.25, 0.25, 0.5, 0.0
1,I'm living my Vox rejection arc because he is too hot to handle + the art he shares makes me feel intimidated in my skills https://t.co/ixXLcHS3L8,0.209, 0.719, 0.072, -0.6369, 0.0, 0.25, 0.0, 0.5, 0.25
2,what would foucault say about too hot to handle,0.0, 1.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.33, 0.33
3,"""This book is funny and will keep you so entertained you won’t put it down.""

Can a headstrong female Berserker and a cranky but sexy War Commander work together to stop the Rodan. Or are they too hot to handle...

➡️ https://t.co/rceS7MdQ5u

#scifi #romance #comedy @askole https://t.co/GApGpDQ2Um",0.16, 0.667, 0.173, -0.0911, 0.0, 0.25, 0.0, 0.5, 0.25
4,Kelly when she watches love island/too hot to handle https://t.co/AcqsLsfmDl,0.0, 0.682, 0.318, 0.6369, 0.0, 0.0, 0.33, 0.33, 0.33
5,me and my gf spicing things up saturday night by pretending we’re on too hot to handle and that we can’t kiss or do any “heavy petting”,0.0, 0.851, 0.149, 0.4939, 0.33, 0.0, 0.0, 0.33, 0.33
6,"Too Hot To Handle! Shraddha Arya either goes printed or sequin, Which suits her the best? https://t.co/h3l4ZovZrG",0.0, 0.781, 0.219, 0.6696, 0.0, 0.33, 0.0, 0.33, 0.33
7,@24lust4 @madv_apesnft Too hot to handle!,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
8,"@eroticmedusa TOO HOT TO HANDLE MY QUEEN!

Fr tho, this some TT bs, if I had to guess there may be some IP ish going on",0.0, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.25, 0.25
9,"@graciousswift13 shows: sex and the city, rhoa, too hot to handle
podcasts: switched on pop
music: the usual🥰",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
10,too hot to handle https://t.co/dxNeCCuXSe,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
11,&amp; When **** gets casted on Too hot to handle then what. Yeah imma really be eatin https://t.co/QK0BZ5DdMt,0.0, 0.872, 0.128, 0.296, 0.0, 0.0, 0.0, 0.5, 0.5
12,I’ll just be binging Too Hot to Handle all night 😅,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
13,"Baby we're a scandal
Way too hot to handle
You can't keep your eyes off
My love is like a candle

Baby we're a scandal
Way too hot to handle
You can't keep your eyes off
And it's just the way I like, oh

 https://t.co/W3KEF8f2Ga",0.114, 0.706, 0.18, 0.5267, 0.0, 0.0, 0.2, 0.4, 0.4
14,i 🫶 too hot to handle,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
