Countries,Year,Import Value,Export Value
Thailand,2002,3244.9,1227.4
Thailand,2003,3858.8,1392.6
Thailand,2004,4663,1976.2
Thailand,2005,4529.5,2246.5
Thailand,2006,3299.8,2701.5
Thailand,2007,4287.1,3054.3
Thailand,2008,6334.3,3661.3
Thailand,2009,4612.9,3233.8
Thailand,2010,7470.7,4566.6
Thailand,2011,10405.1,5896.7
Thailand,2012,11438.5,6635.1
Thailand,2013,10703.1,6061.9
Thailand,2014,9781,5783.1
Thailand,2015,8083.4,5507.3
Thailand,2016,8666.9,5394
Thailand,2017,9281.6,6473.7
Thailand,2018,10952.8,6820.9
Singapore,2002,11775.6,5349.1
Singapore,2003,10712.7,5399.7
Singapore,2004,12148.6,6001.2
Singapore,2005,15300.2,7836.6
Singapore,2006,13265.8,8929.8
Singapore,2007,9839.8,10501.6
Singapore,2008,21789.5,12862
Singapore,2009,15550.4,10262.7
Singapore,2010,20240.8,13723.3
Singapore,2011,25964.7,18443.9
Singapore,2012,26087.3,17135
Singapore,2013,25581.8,16686.3
Singapore,2014,25185.7,16728.3
Singapore,2015,18022.5,12632.6
Singapore,2016,14548.3,11861
Singapore,2017,16888.6,12724.9
Singapore,2018,21439.5,12915
Philippines,2002,188,778.2
Philippines,2003,175.1,944.7
Philippines,2004,205.6,1237.6
Philippines,2005,289.5,1419.1
Philippines,2006,359.4,1405.7
Philippines,2007,359.9,1853.7
Philippines,2008,755.5,2053.6
Philippines,2009,544,2405.9
Philippines,2010,706.3,3180.7
Philippines,2011,852.4,3699
Philippines,2012,799.7,3707.6
Philippines,2013,777.4,3817
Philippines,2014,699.7,3887.8
Philippines,2015,683.1,3921.7
Philippines,2016,821.8,5270.9
Philippines,2017,859.3,6629.6
Philippines,2018,958.4,6832.2
Malaysia,2002,2606.7,2029.9
Malaysia,2003,2521,2363.9
Malaysia,2004,2964.7,3016
Malaysia,2005,4001.8,3431.3
Malaysia,2006,5587.3,4110.8
Malaysia,2007,6411.9,5096.1
Malaysia,2008,8922.3,6432.5
Malaysia,2009,5688.4,6811.8
Malaysia,2010,8648.7,9362.3
