Countries,ExportValue,ImportValue,Year,Latitude,Longitude
Vietnam,4581.9,3794.6,2018,21.75,105.373
Vietnam,2451.3,3417.8,2014,21.75,105.373
Vietnam,3586.9,3228.8,2017,21.75,105.373
Vietnam,3045.6,3228.4,2016,21.75,105.373
Vietnam,2740.2,3161.5,2015,21.75,105.373
Vietnam,2400.9,2722.6,2013,21.75,105.373
Vietnam,2273.7,2595,2012,21.75,105.373
Vietnam,2354.2,2382.9,2011,21.75,105.373
Vietnam,1052,1710.7,2006,21.75,105.373
Vietnam,468.1,1710.3,2003,21.75,105.373
Vietnam,601,1363.1,2004,21.75,105.373
Vietnam,392.9,1206.9,2002,21.75,105.373
Vietnam,1946.2,1142.3,2010,21.75,105.373
Vietnam,678.4,1062.9,2005,21.75,105.373
Vietnam,1355.1,994.2,2007,21.75,105.373
Vietnam,1672.9,717.7,2008,21.75,105.373
Vietnam,1454.2,653.8,2009,21.75,105.373
United States,14874.4,11602.6,2012,40.0792,-98.8164
United States,16459.1,10813.2,2011,40.0792,-98.8164
United States,18439.8,10176.2,2018,40.0792,-98.8164
United States,14266.6,9399.2,2010,40.0792,-98.8164
United States,15691.7,9065.7,2013,40.0792,-98.8164
United States,16530.1,8170.1,2014,40.0792,-98.8164
United States,17794.5,8121.6,2017,40.0792,-98.8164
United States,13036.9,7880.1,2008,40.0792,-98.8164
United States,16240.8,7593.2,2015,40.0792,-98.8164
United States,16141.4,7298.4,2016,40.0792,-98.8164
United States,10850,7083.9,2009,40.0792,-98.8164
United States,11614.2,4787.2,2007,40.0792,-98.8164
United States,11232.1,4623.4,2006,40.0792,-98.8164
United States,7373.7,4054.7,2003,40.0792,-98.8164
United States,7558.6,3824.1,2002,40.0792,-98.8164
United States,8767.3,3740.2,2004,40.0792,-98.8164
United States,9868.5,3731.1,2005,40.0792,-98.8164
United Kingdom,1696.8,1366.3,2012,52.289,-1.259
United Kingdom,1465.3,1212.5,2018,52.289,-1.259
United Kingdom,1719.7,1173.9,2011,52.289,-1.259
United Kingdom,1295.3,1117.9,2004,52.289,-1.259
United Kingdom,1634.8,1081.9,2013,52.289,-1.259
United Kingdom,1546.9,1067.6,2008,52.289,-1.259
United Kingdom,1406.1,1049.6,2017,52.289,-1.259
United Kingdom,1693.2,937.9,2010,52.289,-1.259
United Kingdom,1658.6,894.8,2014,52.289,-1.259
United Kingdom,1590.4,893.8,2016,52.289,-1.259
United Kingdom,1459.3,844.6,2009,52.289,-1.259
United Kingdom,1527.1,818.9,2015,52.289,-1.259
United Kingdom,1291.5,817.7,2005,52.289,-1.259
United Kingdom,1135.8,727.6,2003,52.289,-1.259
United Kingdom,1252.4,692.1,2002,52.289,-1.259
United Kingdom,1454.2,654,2007,52.289,-1.259
United Kingdom,1432.4,580.5,2006,52.289,-1.259
Thailand,6635.1,11438.5,2012,15.688,100.845
