Destination,Export,Type,Year,Latitude,Longitude
Vietnam,43.0136,White Pepper,2018,21.75,105.373
Vietnam,49.442,White Pepper,2017,21.75,105.373
Vietnam,56.74799477,White Pepper,2016,21.75,105.373
Vietnam,52.3343348,White Pepper,2015,21.75,105.373
Vietnam,27.667335,White Pepper,2014,21.75,105.373
Vietnam,20.306845,White Pepper,2013,21.75,105.373
Vietnam,16.413934,White Pepper,2012,21.75,105.373
Vietnam,3.8886,Seaweed and other Algae,2018,21.75,105.373
Vietnam,2.5318,Seaweed and other Algae,2017,21.75,105.373
Vietnam,0.5771,Seaweed and other Algae,2016,21.75,105.373
Vietnam,4.0104,Seaweed and other Algae,2015,21.75,105.373
Vietnam,3.5913,Seaweed and other Algae,2014,21.75,105.373
Vietnam,1.0828,Seaweed and other Algae,2013,21.75,105.373
Vietnam,4.9297,Seaweed and other Algae,2012,21.75,105.373
Vietnam,73.0127,Fruit,2018,21.75,105.373
Vietnam,87.1333,Fruit,2017,21.75,105.373
Vietnam,91.2345,Fruit,2016,21.75,105.373
Vietnam,83.1654,Fruit,2015,21.75,105.373
Vietnam,57.9264,Fruit,2014,21.75,105.373
Vietnam,33.5937,Fruit,2013,21.75,105.373
Vietnam,23.594841,Fruit,2012,21.75,105.373
Vietnam,57.5171,"Drug Plants, Aromatic, Spices",2018,21.75,105.373
Vietnam,47.5992,"Drug Plants, Aromatic, Spices",2017,21.75,105.373
Vietnam,28.1707,"Drug Plants, Aromatic, Spices",2016,21.75,105.373
Vietnam,32.1772,"Drug Plants, Aromatic, Spices",2015,21.75,105.373
Vietnam,34.7344,"Drug Plants, Aromatic, Spices",2014,21.75,105.373
Vietnam,36.2126,"Drug Plants, Aromatic, Spices",2013,21.75,105.373
Vietnam,35.060665,"Drug Plants, Aromatic, Spices",2012,21.75,105.373
Vietnam,9.6697,Black Pepper,2018,21.75,105.373
Vietnam,16.1346,Black Pepper,2017,21.75,105.373
Vietnam,61.44146742,Black Pepper,2016,21.75,105.373
Vietnam,124.6016845,Black Pepper,2015,21.75,105.373
Vietnam,16.927679,Black Pepper,2014,21.75,105.373
Vietnam,55.462222,Black Pepper,2013,21.75,105.373
Vietnam,83.600115,Black Pepper,2012,21.75,105.373
Vietnam,25.986,Bird Nest,2018,21.75,105.373
Vietnam,19.0873,Bird Nest,2017,21.75,105.373
