MajorPorts,Province,Year,Latitude,Longitude,Values
Waingapu,NTT,2018,-9.63969,120.25055,0
Ujung Pandang,Sulawesi Selatan,2018,5.133333333,119.4,160.4
Tuban,Jawa Timur,2018,-6.786842,111.8976,756
Ternate,Maluku Utara,2018,0.78066,127.38809,1.8
Tenau,NTT,2018,-10.1718,123.6075,0.1
Teluk Kasim/Salawati,Papua Barat,2018,1.3,131.0166667,0
Tanjung Santan,Kalimantan Timur,2018,8.733333333,109,0
Tanjung Sangata,Kalimantan Timur,2018,0.366666667,117.5666667,21.1
Tanjung Priok,DKI Jakarta,2018,-6.10492,106.87615,48068.2
Tanjung Pinang,Kepulauan Riau,2018,0.92914,104.45295,7.6
Tanjung Perak,Jawa Timur,2018,7.216666667,112.7333333,16229.6
Tanjung Emas,Jawa Tengah,2018,6.883333333,110.4,6407.6
Sorong,Papua Barat,2018,-0.87802,131.24612,0
Soekarno Hatta 1,DKI Jakarta,2018,5.1225,119.4078,6415.7
Senipah,Kalimantan Timur,2018,0.95,117.1666667,53.2
Sekupang,Kepulauan Riau,2018,1.133333333,103.9166667,2214.1
Samarinda,Kalimantan Timur,2018,-0.50507,117.15071,5088.1
Pulau Sambu,Kepulauan Riau,2018,1.166666667,103.9,12.8
Pontianak,Kalimantan Barat,2018,-0.01847,109.33552,367.4
Pomalaa,Sulawesi Tenggara,2018,-4.23145,121.57935,286.1
Pantoloan,Sulawesi Tengah,2018,-0.69477,119.84041,457.9
Panjang,Lampung,2018,5.466666667,105.3166667,1714.2
Pangkalan Susu,Sumatera Utara,2018,4.116666667,98.21666667,0.5
Palembang0Plaju,Sumatera Selatan,2018,2.984722222,104.8347222,370.5
Palembang (Kertapati),Sumatera Selatan,2018,-2.178201,104.952,177.1
Pakanbaru/Rumbai,Riau,2018,0.5566,101.4507,8.9
Padang/Teluk Bayur,Sumatera Barat,2018,-8.53394,115.5086,1594.5
Ngurah Rai 1,Bali,2018,-8.75,115.1667,306.8
Musi River/Boom Baru,Sumatera Selatan,2018,2.981111111,104.7816667,3186.4
Merak,Banten,2018,5.95,106,563.7
Mamuju,Sulawesi Barat,2018,-2.66758,118.8942,0
Malili,Sulawesi Selatan,2018,-2.66317,120.98228,230.9
Lingkas Tarakan,Kalimantan Utara,2018,3.283333333,117.6,780.8
Kupang,NTT,2018,-10.15375,123.59051,0
Kotabaru,Kalimantan Selatan,2018,3.233333333,116.2166667,320.3
Kolaka,Sulawesi Tenggara,2018,4.0581,121.5851,0
Kabil/Panau,Kepulauan Riau,2018,1.352016667,104.1581722,1447.1
Hasanuddin 1,Sulawesi Selatan,2018,-5.14,119.4221,4.6
Dumai,Riau,2018,1.6861,101.44849,12504
Cirebon,Jawa Barat,2018,-6.70907,108.57073,0
Cilacap,Jawa Tengah,2018,-7.74913,109.01491,171.4
Cigading,Banten,2018,6.016666667,105.95,685.8
Bontang,Kalimantan Timur,2018,0.08553,117.48763,4561.2
Blang Lancang (Arun),Aceh,2018,5.233333333,97.1,0.8
Bitung,Sulawesi Utara,2018,1.4389,125.19403,520.3
"Bintuni, Papua",Papua Barat,2018,0.82175,133.586425,2793.9
Bima,NTB,2018,-8.44602,118.71591,8
Benoa/Loloan,Bali,2018,-8.74329,115.20943,0.5
Belawan,Sumatera Utara,2018,3.79246,98.71623,7731.9
Batu Ampar,Kepulauan Riau,2018,1.169719444,104.02,4202.3
Banjarmasin,Kalimantan Selatan,2018,-3.33321,114.5551,4726.1
Balongan,Jawa Barat,2018,6.360561111,108.3902806,230.7
Balikpapan,Kalimantan Timur,2018,-1.25527,116.81594,1828.3
Bade Irian Jaya,Papua,2018,7.1687,139.5937,50.4
Atapupu,NTT,2018,8.9964,124.8617,17.7
Arjuna,Jawa Barat,2018,7.816666667,112.5666667,0
Ambon,Maluku,2018,-3.6941,128.17627,0
Amamapare,Papua,2018,-4.82653,136.84068,3760
Waingapu,NTT,2017,-9.63969,120.25055,0
Ujung Pandang,Sulawesi Selatan,2017,5.133333333,119.4,251.9
Tuban,Jawa Timur,2017,-6.786842,111.8976,821.5
Ternate,Maluku Utara,2017,0.78066,127.38809,5.6
Tenau,NTT,2017,-10.1718,123.6075,2.2
Teluk Kasim/Salawati,Papua Barat,2017,1.3,131.0166667,0
Tanjung Santan,Kalimantan Timur,2017,8.733333333,109,0
Tanjung Sangata,Kalimantan Timur,2017,0.366666667,117.5666667,43.1
Tanjung Priok,DKI Jakarta,2017,-6.10492,106.87615,45311.3
Tanjung Pinang,Kepulauan Riau,2017,0.92914,104.45295,5.8
Tanjung Perak,Jawa Timur,2017,7.216666667,112.7333333,14916.2
Tanjung Emas,Jawa Tengah,2017,6.883333333,110.4,5740.6
Sorong,Papua Barat,2017,-0.87802,131.24612,15.5
Soekarno Hatta 1,DKI Jakarta,2017,5.1225,119.4078,6364.6
Senipah,Kalimantan Timur,2017,0.95,117.1666667,440.5
Sekupang,Kepulauan Riau,2017,1.133333333,103.9166667,2095
Samarinda,Kalimantan Timur,2017,-0.50507,117.15071,4768.5
