Origin,Type,Year,Latitude,Longitude,Import
United States,Vegetables,2017,40.0792,-98.8164,17.3261
Others,Vegetables,2017,,,19.9028
New Zealand,Vegetables,2017,-42.558,172.377,23.7018
Netherlands,Vegetables,2017,52.1704,5.0102,10.7703
Myanmar,Vegetables,2017,21.841,96.05,43.3524
India,Vegetables,2017,22.741,78.236,39.9476
Germany,Vegetables,2017,51.3819,9.9877,9.9952
Ethiopia,Vegetables,2017,8.435,38.786,24.0445
China,Vegetables,2017,35.1753,99.3877,606.2517
Canada,Vegetables,2017,59.2067,-111.1937,6.8983
Australia,Vegetables,2017,-24.578,133.582,18.483
United States,Vegetables,2016,40.0792,-98.8164,30.7027
Others,Vegetables,2016,,,17.112
New Zealand,Vegetables,2016,-42.558,172.377,20.717
Netherlands,Vegetables,2016,52.1704,5.0102,15.3986
Myanmar,Vegetables,2016,21.841,96.05,34.9541
India,Vegetables,2016,22.741,78.236,7.8287
Germany,Vegetables,2016,51.3819,9.9877,7.4974
Ethiopia,Vegetables,2016,8.435,38.786,11.3579
China,Vegetables,2016,35.1753,99.3877,511.2929
Canada,Vegetables,2016,59.2067,-111.1937,17.4178
Australia,Vegetables,2016,-24.578,133.582,21.6001
United States,Vegetables,2015,40.0792,-98.8164,19.1909
Others,Vegetables,2015,,,20.0498
New Zealand,Vegetables,2015,-42.558,172.377,11.0481
Netherlands,Vegetables,2015,52.1704,5.0102,8.141
Myanmar,Vegetables,2015,21.841,96.05,30.6246
India,Vegetables,2015,22.741,78.236,5.5855
Germany,Vegetables,2015,51.3819,9.9877,5.3857
Ethiopia,Vegetables,2015,8.435,38.786,8.124
China,Vegetables,2015,35.1753,99.3877,426.1399
Canada,Vegetables,2015,59.2067,-111.1937,8.7514
Australia,Vegetables,2015,-24.578,133.582,15.0403
United States,Vegetables,2014,40.0792,-98.8164,16.9811
Others,Vegetables,2014,,,39.1836
New Zealand,Vegetables,2014,-42.558,172.377,14.7167
Netherlands,Vegetables,2014,52.1704,5.0102,6.2414
Myanmar,Vegetables,2014,21.841,96.05,60.4206
India,Vegetables,2014,22.741,78.236,25.1177
Germany,Vegetables,2014,51.3819,9.9877,2.8381
Ethiopia,Vegetables,2014,8.435,38.786,18.4872
China,Vegetables,2014,35.1753,99.3877,424.7396
Canada,Vegetables,2014,59.2067,-111.1937,10.6074
Australia,Vegetables,2014,-24.578,133.582,24.6896
United States,Vegetables,2013,40.0792,-98.8164,20.0605
Others,Vegetables,2013,,,40.2036
New Zealand,Vegetables,2013,-42.558,172.377,6.8651
Netherlands,Vegetables,2013,52.1704,5.0102,0.1161
Myanmar,Vegetables,2013,21.841,96.05,47.8701
India,Vegetables,2013,22.741,78.236,38.5784
Germany,Vegetables,2013,51.3819,9.9877,3.947
Ethiopia,Vegetables,2013,8.435,38.786,9.1001
China,Vegetables,2013,35.1753,99.3877,423.9527
Canada,Vegetables,2013,59.2067,-111.1937,20.1861
Australia,Vegetables,2013,-24.578,133.582,29.8779
United States,Vegetables,2012,40.0792,-98.8164,22.6427
Others,Vegetables,2012,,,63.8725
New Zealand,Vegetables,2012,-42.558,172.377,7.0438
Netherlands,Vegetables,2012,52.1704,5.0102,4.567
Myanmar,Vegetables,2012,21.841,96.05,37.8925
India,Vegetables,2012,22.741,78.236,21.605
