MajorPorts,Province,Year,Latitude,Longitude,Values
Waingapu,NTT,2018,-9.63969,120.25055,0
Ujung Pandang,Sulawesi Selatan,2018,5.133333333,119.4,185.4
Tuban,Jawa Timur,2018,-6.786842,111.8976,1360.6
Ternate,Maluku Utara,2018,0.78066,127.38809,55.5
Tenau,NTT,2018,-10.1718,123.6075,0.2
Teluk Kasim/Salawati,Papua Barat,2018,1.3,131.0166667,0
Tanjung Santan,Kalimantan Timur,2018,8.733333333,109,0
Tanjung Sangata,Kalimantan Timur,2018,0.366666667,117.5666667,367.8
Tanjung Priok,DKI Jakarta,2018,-6.10492,106.87615,15485
Tanjung Pinang,Kepulauan Riau,2018,0.92914,104.45295,5.1
Tanjung Perak,Jawa Timur,2018,7.216666667,112.7333333,8917.4
Tanjung Emas,Jawa Tengah,2018,6.883333333,110.4,2429.6
Sorong,Papua Barat,2018,-0.87802,131.24612,0
Soekarno Hatta 1,DKI Jakarta,2018,5.1225,119.4078,131.6
Senipah,Kalimantan Timur,2018,0.95,117.1666667,98.3
Sekupang,Kepulauan Riau,2018,1.133333333,103.9166667,303.3
Samarinda,Kalimantan Timur,2018,-0.50507,117.15071,86882.2
Pulau Sambu,Kepulauan Riau,2018,1.166666667,103.9,10.7
Pontianak,Kalimantan Barat,2018,-0.01847,109.33552,5437.4
Pomalaa,Sulawesi Tenggara,2018,-4.23145,121.57935,5457.1
Pantoloan,Sulawesi Tengah,2018,-0.69477,119.84041,778.3
Panjang,Lampung,2018,5.466666667,105.3166667,3887.1
Pangkalan Susu,Sumatera Utara,2018,4.116666667,98.21666667,0.1
Palembang0Plaju,Sumatera Selatan,2018,2.984722222,104.8347222,837.5
Palembang (Kertapati),Sumatera Selatan,2018,-2.178201,104.952,2783.8
Pakanbaru/Rumbai,Riau,2018,0.5566,101.4507,119.1
Padang/Teluk Bayur,Sumatera Barat,2018,-8.53394,115.5086,4913.7
Ngurah Rai 1,Bali,2018,-8.75,115.1667,17.4
Musi River/Boom Baru,Sumatera Selatan,2018,2.981111111,104.7816667,17698.8
Merak,Banten,2018,5.95,106,2736.3
Mamuju,Sulawesi Barat,2018,-2.66758,118.8942,0
Malili,Sulawesi Selatan,2018,-2.66317,120.98228,30
Lingkas Tarakan,Kalimantan Timur,2018,3.283333333,117.6,10588.8
Kupang,NTT,2018,-10.15375,123.59051,0
Kotabaru,Kalimantan Selatan,2018,3.233333333,116.2166667,11208.6
Kolaka,Sulawesi Tenggara,2018,4.0581,121.5851,0
Kabil/Panau,Kepulauan Riau,2018,1.352016667,104.1581722,2008.5
Hasanuddin 1,Sulawesi Selatan,2018,-5.14,119.4221,0.9
Dumai,Riau,2018,1.6861,101.44849,22612.8
Cirebon,Jawa Barat,2018,-6.70907,108.57073,0
Cilacap,Jawa Tengah,2018,-7.74913,109.01491,827.4
Cigading,Banten,2018,6.016666667,105.95,1722
Bontang,Kalimantan Timur,2018,0.08553,117.48763,22243.3
Blang Lancang (Arun),Aceh,2018,5.233333333,97.1,5.5
"Bituni, Papua",Papua Barat,2018,,,6567.5
Bitung,Sulawesi Utara,2018,1.4389,125.19403,794
Bima,NTB,2018,-8.44602,118.71591,30.2
Benoa/Loloan,Bali,2018,-8.74329,115.20943,1.4
Belawan,Sumatera Utara,2018,3.79246,98.71623,8064.3
Batu Ampar,Kepulauan Riau,2018,1.169719444,104.02,897.4
Banjarmasin,Kalimantan Selatan,2018,-3.33321,114.5551,77067.6
Balongan,Jawa Barat,2018,6.360561111,108.3902806,509.2
Balikpapan,Kalimantan Timur,2018,-1.25527,116.81594,19009.8
Bade Irian Jaya,Papua,2018,7.1687,139.5937,62.4
Atapupu,NTT,2018,8.9964,124.8617,69
Arjuna,Jawa Barat,2018,7.816666667,112.5666667,0
Ambon,Maluku,2018,-3.6941,128.17627,0
Amamapare,Papua,2018,-4.82653,136.84068,1307
Waingapu,NTT,2017,-9.63969,120.25055,0
Ujung Pandang,Sulawesi Selatan,2017,5.133333333,119.4,311.4
Tuban,Jawa Timur,2017,-6.786842,111.8976,2011.7
Ternate,Maluku Utara,2017,0.78066,127.38809,165.6
Tenau,NTT,2017,-10.1718,123.6075,4
