Destination,Year,Import
Thailand,2000,1109.1
Thailand,2001,986
Thailand,2002,1190.7
Thailand,2003,1701.7
Thailand,2004,2771.6
Thailand,2005,3447
Thailand,2006,2983.5
Thailand,2007,4287.1
Thailand,2008,6334.3
Thailand,2009,4612.9
Thailand,2010,7470.7
Thailand,2011,10405.1
Thailand,2012,11438.5
Thailand,2013,10703.1
Thailand,2014,9781
Thailand,2015,8083.4
Thailand,2016,8666.9
Thailand,2017,9281.6
Singapore,2000,3788.6
Singapore,2001,3147.1
Singapore,2002,4099.6
Singapore,2003,4155.1
Singapore,2004,6082.8
Singapore,2005,9470.7
Singapore,2006,10034.5
Singapore,2007,9839.8
Singapore,2008,21789.5
Singapore,2009,15550.4
Singapore,2010,20240.8
Singapore,2011,25964.7
Singapore,2012,26087.3
Singapore,2013,25581.8
Singapore,2014,25185.7
Singapore,2015,18022.5
Singapore,2016,14548.3
Singapore,2017,16888.6
Philippines,2000,114.7
Philippines,2001,93.9
Philippines,2002,113.7
Philippines,2003,182.6
Philippines,2004,228.6
Philippines,2005,322.2
Philippines,2006,284.6
Philippines,2007,359.9
Philippines,2008,755.5
Philippines,2009,544
Philippines,2010,706.3
Philippines,2011,852.4
Philippines,2012,799.7
Philippines,2013,777.4
Philippines,2014,699.7
Philippines,2015,683.1
Philippines,2016,821.8
Philippines,2017,859.3
Malaysia,2000,1128.8
Malaysia,2001,1005.5
Malaysia,2002,1037.4
Malaysia,2003,1138.2
Malaysia,2004,1681.9
Malaysia,2005,2148.5
Malaysia,2006,3193.3
Malaysia,2007,6411.9
Malaysia,2008,8922.3
Malaysia,2009,5688.4
Malaysia,2010,8648.7
Malaysia,2011,10404.9
Malaysia,2012,12243.5
Malaysia,2013,13322.5
Malaysia,2014,10855.4
Malaysia,2015,8530.7
Malaysia,2016,7200.9
Malaysia,2017,8858.2
Myanmar,2000,85
Myanmar,2001,20.8
Myanmar,2002,31.5
Myanmar,2003,14.9
Myanmar,2004,17.4
Myanmar,2005,14.2
Myanmar,2006,19.7
Myanmar,2007,30.4
Myanmar,2008,29.7
Myanmar,2009,29.1
Myanmar,2010,31.9
Myanmar,2011,71.3
Myanmar,2012,63.5
Myanmar,2013,73.2
Myanmar,2014,122.1
Myanmar,2015,160.4
Myanmar,2016,113.3
Myanmar,2017,145.7
Cambodia,2000,0.7
Cambodia,2001,0.1
Cambodia,2002,0.7
Cambodia,2003,1.5
Cambodia,2004,1.1
Cambodia,2005,0.7
Cambodia,2006,1.1
Cambodia,2007,1.3
