Month,Oil and Gas,Non-Oil and Gas,Total Export,Agriculture,Industry,Mining,Others,Consumption Goods,Raw Material Support,Capital Goods,Total Import
1/7/2019,1605.60,13848.60,15454.20,313.90,11517.50,2016.70,0.60,1465.60,11272.83,2780.05,15518.48
1/6/2019,746.20,11046.60,11792.70,209.00,9032.90,1804.20,0.50,1029.77,8736.16,1729.46,11495.39
1/5/2019,1136.80,13688.40,14825.20,316.30,11221.30,2150.30,0.50,1553.19,10730.75,2322.72,14606.66
1/4/2019,741.90,12371.80,13113.60,252.30,9932.50,2186.40,0.60,1460.22,11570.70,2368.27,15399.19
1/3/2019,1140.50,12981.40,14121.90,269.30,10354.60,2356.90,0.50,1145.98,10106.92,2198.21,13451.11
1/2/2019,1110.20,11445.70,12555.90,233.20,9415.00,1796.80,0.70,1011.17,9025.63,2189.21,12226.01
1/1/2019,1234.70,12693.20,13927.90,282.40,10200.10,2210.20,0.50,1219.95,11415.87,2355.59,14991.41
1/12/2018,1706.80,12583.30,14290.10,296.70,10164.50,2121.50,0.60,1467.09,11220.28,2677.62,15364.99
1/11/2018,1312.90,13538.80,14851.70,320.10,10761.70,2456.40,0.60,1434.27,12870.49,2597.06,16901.81
1/10/2018,1545.30,14363.80,15909.10,316.30,11633.00,2414.00,0.50,1502.66,13410.41,2754.55,17667.62
1/9/2018,1320.30,13636.10,14956.30,316.90,10895.90,2422.80,0.50,1325.82,10902.02,2382.22,14610.06
1/8/2018,1423.80,14441.40,15865.10,301.80,11784.70,2354.50,0.40,1555.54,12633.28,2629.32,16818.14
1/7/2018,1416.50,14868.20,16284.70,300.30,11839.50,2727.80,0.60,1711.97,13704.08,2881.09,18297.15
1/6/2018,1646.70,11295.00,12941.70,199.80,8556.80,2538.00,0.40,1008.00,8585.92,1673.97,11267.89
1/5/2018,1633.10,14565.20,16198.30,308.00,11749.30,2507.50,0.50,1730.04,13188.17,2744.68,17662.89
1/4/2018,1178.80,13317.50,14496.20,298.50,10681.70,2336.80,0.40,1503.08,12088.90,2570.31,16162.29
1/3/2018,1256.20,14254.50,15510.60,281.00,11188.40,2784.60,0.40,1201.15,10876.82,2385.63,14463.60
1/2/2018,1388.80,12743.60,14132.40,233.50,10242.50,2267.20,0.50,1378.85,10600.29,2206.36,14185.49
1/1/2018,1342.70,13233.60,14576.30,258.10,10620.10,2354.90,0.50,1362.94,11500.50,2446.00,15309.43
1/12/2017,1496.50,13368.10,14864.50,275.70,10415.60,2676.10,0.70,1375.42,11090.61,2638.44,15104.47
1/11/2017,1295.80,14039.00,15334.70,316.70,11470.50,2251.40,0.40,1341.08,11188.00,2584.45,15113.52
1/10/2017,1488.20,13764.40,15252.60,349.50,10965.10,2449.30,0.50,1251.19,10856.83,2141.16,14249.18
1/9/2017,1455.00,13125.20,14580.20,315.90,10616.10,2192.60,0.60,1117.78,9660.13,2010.38,12788.29
1/8/2017,1233.60,13954.40,15188.00,381.20,11576.60,1996.00,0.60,1193.99,10164.27,2150.94,13509.20
1/7/2017,1165.00,12446.10,13611.10,320.20,10245.50,1880.20,0.20,1069.08,10514.38,2306.35,13889.81
1/6/2017,1276.30,10385.10,11661.40,267.40,8519.10,1598.40,0.10,1111.77,7461.03,1418.77,9991.57
1/5/2017,1294.40,13039.50,14333.90,314.90,10767.90,1955.80,0.90,1288.57,10566.97,1917.02,13772.55
1/4/2017,1036.20,12233.50,13269.70,278.00,9882.40,2072.80,0.40,1095.34,9041.43,1813.85,11950.61
1/3/2017,1516.20,13202.20,14718.50,290.90,10992.80,1918.10,0.50,1329.12,9984.87,1969.19,13283.19
1/2/2017,1208.60,11407.40,12616.00,280.40,9779.60,1346.90,0.50,888.34,8811.45,1659.63,11359.41
1/1/2017,1278.60,12119.10,13397.70,280.30,9872.20,1966.20,0.40,1013.35,9084.78,1875.64,11973.77
1/12/2016,1250.10,12582.20,13832.40,358.10,10140.60,2083.10,0.40,1279.38,9310.67,2192.47,12782.52
1/11/2016,1103.00,12399.90,13502.90,360.00,10152.90,1886.60,0.40,1024.42,9608.15,2036.87,12669.43
1/10/2016,1055.90,11687.90,12743.70,381.50,9665.60,1640.40,0.40,958.77,8598.59,1949.82,11507.18
1/9/2016,1061.50,11518.30,12579.80,346.00,9484.30,1687.60,0.40,993.73,8522.07,1781.71,11297.51
1/8/2016,1138.60,11615.30,12753.90,391.10,9518.40,1705.40,0.50,1165.44,9190.27,2029.45,12385.15
1/7/2016,998.60,8650.90,9649.50,181.40,7217.40,1251.70,0.40,730.71,6854.34,1432.11,9017.16
1/6/2016,1187.40,12018.80,13206.10,263.40,10210.00,1545.00,0.40,1144.50,8991.30,1959.42,12095.22
1/5/2016,957.90,10559.50,11517.40,221.50,9107.40,1230.10,0.50,997.98,8519.63,1623.07,11140.68
1/4/2016,891.70,10798.00,11689.70,214.10,9411.30,1172.20,0.40,875.39,8214.28,1723.95,10813.62
1/3/2016,1239.30,10572.80,11812.10,225.10,8977.50,1369.90,0.30,990.08,8649.97,1661.65,11301.71
1/2/2016,1113.30,10203.40,11316.70,215.30,8708.30,1279.50,0.30,1001.51,7406.14,1767.97,10175.63
