Year,Month,Total,Oil & Gas,NON Oil & Gas,Agriculture,Industry,Mining,Others
2019,August,14281.7,875.4,13406.4,337.8,11242.2,1825.8,0.5
2019,July,15454.2,1605.6,13848.6,313.9,11517.5,2016.7,0.6
2019,June,11792.7,746.2,11046.6,209,9032.9,1804.2,0.5
2019,May,14825.2,1136.8,13688.4,316.3,11221.3,2150.3,0.5
2019,April,13113.6,741.9,12371.8,252.3,9932.5,2186.4,0.6
2019,March,14121.9,1140.5,12981.4,269.3,10354.6,2356.9,0.5
2019,February,12555.9,1110.2,11445.7,233.2,9415,1796.8,0.7
2019,January,13927.9,1234.7,12693.2,282.4,10200.1,2210.2,0.5
2018,December,14290.1,1706.8,12583.3,296.7,10164.5,2121.5,0.6
2018,November,14851.7,1312.9,13538.8,320.1,10761.7,2456.4,0.6
2018,October,15909.1,1545.3,14363.8,316.3,11633,2414,0.5
2018,September,14956.3,1320.3,13636.1,316.9,10895.9,2422.8,0.5
2018,August,15865.1,1423.8,14441.4,301.8,11784.7,2354.5,0.4
2018,July,16284.7,1416.5,14868.2,300.3,11839.5,2727.8,0.6
2018,June,12941.7,1646.7,11295,199.8,8556.8,2538,0.4
2018,May,16198.3,1633.1,14565.2,308,11749.3,2507.5,0.5
2018,April,14496.2,1178.8,13317.5,298.5,10681.7,2336.8,0.4
2018,March,15510.6,1256.2,14254.5,281,11188.4,2784.6,0.4
2018,February,14132.4,1388.8,12743.6,233.5,10242.5,2267.2,0.5
2018,January,14576.3,1342.7,13233.6,258.1,10620.1,2354.9,0.5
2017,December,14864.5,1496.5,13368.1,275.7,10415.6,2676.1,0.7
2017,November,15334.7,1295.8,14039,316.7,11470.5,2251.4,0.4
2017,October,15252.6,1488.2,13764.4,349.5,10965.1,2449.3,0.5
2017,September,14580.2,1455,13125.2,315.9,10616.1,2192.6,0.6
2017,August,15188,1233.6,13954.4,381.2,11576.6,1996,0.6
2017,July,13611.1,1165,12446.1,320.2,10245.5,1880.2,0.2
2017,June,11661.4,1276.3,10385.1,267.4,8519.1,1598.4,0.1
2017,May,14333.9,1294.4,13039.5,314.9,10767.9,1955.8,0.9
2017,April,13269.7,1036.2,12233.5,278,9882.4,2072.8,0.4
2017,March,14718.5,1516.2,13202.2,290.9,10992.8,1918.1,0.5
2017,February,12616,1208.6,11407.4,280.4,9779.6,1346.9,0.5
