Year,Month,Total,Consumption Goods,Raw Material Support,Capital Goods
2019,August,14169.35,1363.83,10329.97,2475.55
2019,July,15518.48,1465.6,11272.83,2780.05
2019,June,11495.39,1029.77,8736.16,1729.46
2019,May,14606.66,1553.19,10730.75,2322.72
2019,April,15399.19,1460.22,11570.7,2368.27
2019,March,13451.11,1145.98,10106.92,2198.21
2019,February,12226.01,1011.17,9025.63,2189.21
2019,January,14991.41,1219.95,11415.87,2355.59
2018,December,15364.99,1467.09,11220.28,2677.62
2018,November,16901.81,1434.27,12870.49,2597.06
2018,October,17667.62,1502.66,13410.41,2754.55
2018,September,14610.06,1325.82,10902.02,2382.22
2018,August,16818.14,1555.54,12633.28,2629.32
2018,July,18297.15,1711.97,13704.08,2881.09
2018,June,11267.89,1008,8585.92,1673.97
2018,May,17662.89,1730.04,13188.17,2744.68
2018,April,16162.29,1503.08,12088.9,2570.31
2018,March,14463.6,1201.15,10876.82,2385.63
2018,February,14185.49,1378.85,10600.29,2206.36
2018,January,15309.43,1362.94,11500.5,2446
2017,December,15104.47,1375.42,11090.61,2638.44
2017,November,15113.52,1341.08,11188,2584.45
2017,October,14249.18,1251.19,10856.83,2141.16
2017,September,12788.29,1117.78,9660.13,2010.38
2017,August,13509.2,1193.99,10164.27,2150.94
2017,July,13889.81,1069.08,10514.38,2306.35
2017,June,9991.57,1111.77,7461.03,1418.77
2017,May,13772.55,1288.57,10566.97,1917.02
2017,April,11950.61,1095.34,9041.43,1813.85
2017,March,13283.19,1329.12,9984.87,1969.19
2017,February,11359.41,888.34,8811.45,1659.63
2017,January,11973.77,1013.35,9084.78,1875.64
2016,December,12782.52,1279.38,9310.67,2192.47
2016,November,12669.43,1024.42,9608.15,2036.87
2016,October,11507.18,958.77,8598.59,1949.82
2016,September,11297.51,993.73,8522.07,1781.71
2016,August,12385.15,1165.44,9190.27,2029.45
2016,July,9017.16,730.71,6854.34,1432.11
2016,June,12095.22,1144.5,8991.3,1959.42
2016,May,11140.68,997.98,8519.63,1623.07
2016,April,10813.62,875.39,8214.28,1723.95
2016,March,11301.71,990.08,8649.97,1661.65
2016,February,10175.63,1001.51,7406.14,1767.97
2016,January,10467,1155.62,7525.6,1785.78
2015,December,12077.3,1083.5,8770.37,2223.44
2015,November,11519.47,954.44,8560.09,2004.94
2015,October,11108.92,770.31,8301.31,2037.29
2015,September,11558.6,856.55,8681.36,2020.69
2015,August,12399.25,1108.5,9269.08,2021.66
2015,July,10081.86,741.11,7708.97,1631.79
2015,June,12978.09,1046.96,9784.73,2146.4
2015,May,11613.59,975.94,8717.3,1920.34
2015,April,12626.28,946.34,9699.31,1980.63
2015,March,12608.69,955.82,9354.97,2297.9
2015,February,11510.11,848.22,8784.95,1876.95
2015,January,12612.65,817.37,9626.03,2169.25
2014,December,14434.51,1138.9,11161.15,2134.46
2014,November,14041.61,1068.35,10745.57,2227.69
2014,October,15327.99,1143.98,11540.14,2643.88
2014,September,15546.1,1236.44,11746.97,2562.68
2014,August,14793.24,1178.08,11187.28,2427.88
2014,July,14081.71,888.22,11148.06,2045.43
2014,June,15697.74,1141.5,12051.13,2505.11
2014,May,14770.34,1057.83,11431.74,2280.76
2014,April,16254.98,1163.41,12519.75,2571.82
2014,March,14523.72,1108.81,11254.72,2160.19
2014,February,13790.66,940.13,10595.21,2255.32
2014,January,14916.23,1001.92,11391.27,2523.05
2013,December,15455.86,1215.27,11902.77,2337.83
2013,November,15149.33,1154.75,11368.67,2625.9
2013,October,15674.02,1094.03,12034.43,2545.56
2013,September,15509.77,1158.92,11667.7,2683.15
2013,August,13012.05,961.06,10055.14,1995.85
2013,July,17416.99,1420.91,13119.39,2876.69
2013,June,15636.02,1284.11,11833.35,2518.56
2013,May,16660.56,1312.47,12619.24,2728.85
2013,April,16463.47,1114.59,12845.18,2503.69
2013,March,14887.08,923.04,11538.45,2425.59
2013,February,15313.29,1029.65,11823.39,2460.24
2013,January,15450.24,933.4,11993.96,2522.88
2012,December,15581.98,1220.17,11460.47,2901.34
2012,November,16935.01,1228.31,12589.78,3116.92
2012,October,17207.93,1090.58,12982.23,3135.12
2012,September,15348.56,1116.53,11548.75,2683.27
2012,August,13813.88,981.52,10103.83,2728.53
2012,July,16354.45,1209.88,11886.89,3257.68
2012,June,16727.52,1149.32,12323.33,3254.88
2012,May,17036.74,1146.96,12627.43,3262.35
2012,April,16937.88,1063.35,12708.21,3166.32
2012,March,16325.66,1107.01,12205.82,3012.84
2012,February,14866.79,1208.95,10913.09,2744.75
2012,January,14554.62,1109.74,10614.32,2830.57
2011,December,16475.6,1107.7,11595.1,3772.8
2011,November,15393.9,1089.6,11113.9,3190.4
2011,October,15533.4,1261.7,11169.7,3102
2011,September,15169.1,1179.1,10971.3,3018.7
2011,August,15075.4,1200.5,11096.1,2778.8
2011,July,16207.3,1211.3,12114.4,2881.6
2011,June,15072.1,1078.8,11258.9,2734.4
2011,May,14825.9,976.7,11434.4,2414.8
2011,April,14888.2,1059.2,11503,2326
2011,March,14486.2,1290.3,10529.2,2666.7
2011,February,11749.9,908.2,8721.3,2120.4
2011,January,12558.7,1029.8,9427.1,2101.8
2010,December,13089.5,995.3,9599.4,2494.8
2010,November,13007.6,989.2,9568.9,2449.5
2010,October,12120,835.5,8774.2,2510.3
2010,September,9654.1,676.8,6933.8,2043.5
2010,August,12171.6,903.4,8737.7,2530.5
2010,July,12625.9,895.6,8885.2,2875.1
2010,June,11760,915.6,8749.3,2095.2
2010,May,9980.4,709.7,7581,1689.7
2010,April,11235.8,894.2,8062.4,2279.2
2010,March,10972.6,868,7897.1,2206.9
2010,February,9498,683.2,6891,1923.7
2010,January,9490.6,625.4,7047.7,1817.5
2009,December,10299.9,653.7,7255.4,2390.8
2009,November,8841.7,639.1,6494,1681.5
2009,October,9430.1,639.2,7148.4,1642.6
2009,September,8516.6,557.2,6508.3,1451.2
2009,August,9707.3,638.5,6431.7,2637
2009,July,8683.3,738,6151.1,1794.2
2009,June,7935.5,548.5,5853.6,1533.4
2009,May,7641.3,505.5,5439.6,1696.2
2009,April,6706.8,499.7,4861.2,1345.9
2009,March,6554.1,493.9,4518,1542.2
2009,February,5939,374.9,4183.7,1380.5
2009,January,6600.6,464.4,4793.1,1343
2008,December,7742.3,448.5,5293.1,2000.7
2008,November,9081.4,549.6,94199.6,2066
2008,October,10732.5,601.6,8147.9,1982.9
2008,September,11296.1,713.2,8649.7,1933.3
2008,August,12326.2,840.9,9474.7,2010.6
2008,July,12869.8,816.4,9919.9,2133.6
2008,June,12110.5,796.4,9753,1561.1
2008,May,11664.2,760.8,9344.9,1558.4
2008,April,11646.7,787.3,9116.4,1743.1
2008,March,10276.7,676.7,8240.2,1359.7
2008,February,9842.9,663.9,7732.7,1446.3
2008,January,9608,648.4,7354.4,1605.2
2007,December,6837.8,561.3,5081.1,1195.4
2007,November,7574.1,588.1,5791.6,1194.4
2007,October,6285.9,487.9,4664.6,1133.4
2007,September,6791.1,555.8,5186.1,1049.2
2007,August,6916.8,597.6,5255.8,1063.4
2007,July,6360.6,513.6,4791.3,1055.7
2007,June,6014.8,549,4583.5,882.3
2007,May,6455.4,633.6,4925.1,896.7
2007,April,5643.6,533,4293.9,816.7
2007,March,5646.6,625.7,4282.3,738.6
2007,February,4663.1,458.4,3482.9,721.8
2007,January,5283.5,434.9,4146.4,702.2
2006,December,4968,374.6,3786.6,807.3
2006,November,5810.4,445.7,4322.8,1041.4
2006,October,4582.1,344.6,3657.1,580.4
2006,September,5647.09,489.03,4473.84,684.22
2006,August,5704.12,432.09,4257.58,1014.45
2006,July,5425.02,405.32,4356.58,663.12
2006,June,5724.91,396.01,4560.21,768.68
2006,May,5097.23,340.21,3996.22,760.79
2006,April,4779.66,380.23,3607.63,791.81
2006,March,4410.11,377.61,3424.65,607.85
2006,February,4527.92,381.81,3500.25,645.86
2006,January,4388.98,371.12,3227.9,789.96
2005,December,4889.52,432.39,3652.64,804.48
2005,November,4090.7,331.8,3162.68,596.23
2005,October,4863.49,440.68,3806.08,616.73
2005,September,4920.73,463.93,3792.27,664.53
2005,August,5487.58,438.9,4240.19,808.49
2005,July,4985.51,350.43,3883.4,751.68
2005,June,4820.66,358.24,3755.31,707.11
2005,May,4950.05,406.95,3778.65,764.44
2005,April,5112.47,355,4046.41,711.06
2005,March,5177.12,380.92,4203.35,592.85
2005,February,4281.64,325.34,3288.14,668.15
2005,January,4121.4,335.86,3182.9,602.64
2004,December,4972.82,381.98,3800.98,789.87
2004,November,3895.29,298,3027.38,569.91
2004,October,4156.5,337.58,3192.42,626.5
2004,September,4245.48,343.96,3300.91,600.6
2004,August,4100.85,347.77,3147.84,605.23
2004,July,4190.7,300.5,3233,657.2
2004,June,3781.92,319.96,2897.01,564.95
2004,May,3429.1,288.23,2721.02,419.85
2004,April,3549.84,290.13,2804.95,454.76
2004,March,3469.72,300.68,2787.76,381.28
2004,February,3389.4,292.41,2711.03,385.97
2004,January,3342.9,285.32,2579.94,477.64
2003,December,2885.3,302.7,2169.5,413.1
2003,November,2798.1,275.6,2156.8,365.8
2003,October,2801.7,228.5,2131.2,441.9
2003,September,2740.4,224.3,2127,389
2003,August,2696.1,198.9,2121.2,376.1
2003,July,2609.3,238.7,2044.6,325.9
2003,June,2446.9,244.6,1935.1,267.3
2003,May,2575.8,234.2,2034.3,307.3
2003,April,2621.8,213.3,2086.3,322.3
2003,March,2817.6,209.8,2157.4,450.3
2003,February,2818.5,246.8,2307.2,264.5
2003,January,2739.2,245.4,2225.7,268.1
2002,December,2945.2,268.5,2326.4,808.9
2002,November,2955.9,281.7,2215.5,458.7
2002,October,3104.8,250.7,2459,395.1
2002,September,2860.2,215.9,2110.7,533.5
2002,August,2823.7,239.3,2196.3,388.2
2002,July,2646.3,231.4,2076.6,338.2
2002,June,2438.9,213.8,1911.7,313.4
2002,May,2498.09,185,1984.5,328.7
2002,April,2382.9,199.6,1800.3,383
2002,March,2362.71,190.4,1804.5,367.8
2002,February,2182.3,185.5,1711.4,285.3
2002,January,2087.9,188.6,1630.6,268.8
2001,NA,30962.1,2251.2,23879.4,4831.5
2000,NA,33514.8,2718.7,26018.7,4777.4
1999,NA,24003.3,2468.3,18475,3060
1998,NA,27336.9,1917.7,19611.8,5807.4
1997,NA,41679.8,2166.3,30229.5,9284
1996,NA,42928.5,2805.9,30469.7,9652.9
