country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Argentina,AR,2022-02-13,Films,1,The Tinder Swindler,,2
Argentina,AR,2022-02-13,Films,2,Through My Window,,2
Argentina,AR,2022-02-13,Films,3,Tall Girl 2,,1
Argentina,AR,2022-02-13,Films,4,13 Hours: The Secret Soldiers of Benghazi,,2
Argentina,AR,2022-02-13,Films,5,Into the Wind,,1
Argentina,AR,2022-02-13,Films,6,The Privilege,,1
Argentina,AR,2022-02-13,Films,7,Dora and the Lost City of Gold,,1
Argentina,AR,2022-02-13,Films,8,Believe Me: The Abduction of Lisa McVey,,2
Argentina,AR,2022-02-13,Films,9,Righteous Kill,,1
Argentina,AR,2022-02-13,Films,10,The Secret Life of Pets 2,,5
Argentina,AR,2022-02-13,TV,1,Café con aroma de mujer,Café con aroma de mujer: Season 1,7
Argentina,AR,2022-02-13,TV,2,All of Us Are Dead,All of Us Are Dead: Season 1,3
Argentina,AR,2022-02-13,TV,3,The Queen of Flow,The Queen of Flow: Season 2,13
Argentina,AR,2022-02-13,TV,4,Dark Desire,Dark Desire: Season 2,2
Argentina,AR,2022-02-13,TV,5,El marginal,El marginal: Season 4,4
Argentina,AR,2022-02-13,TV,6,Inventing Anna,Inventing Anna: Limited Series,1
Argentina,AR,2022-02-13,TV,7,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,33
Argentina,AR,2022-02-13,TV,8,Sweet Magnolias,Sweet Magnolias: Season 2,1
Argentina,AR,2022-02-13,TV,9,The Queen of Flow,The Queen of Flow: Season 1,15
Argentina,AR,2022-02-13,TV,10,Dark Desire,Dark Desire: Season 1,1
Argentina,AR,2022-02-06,Films,1,Through My Window,,1
Argentina,AR,2022-02-06,Films,2,The Tinder Swindler,,1
Argentina,AR,2022-02-06,Films,3,My Best Friend Anne Frank,,1
Argentina,AR,2022-02-06,Films,4,Home Team,,2
Argentina,AR,2022-02-06,Films,5,13 Hours: The Secret Soldiers of Benghazi,,1
Argentina,AR,2022-02-06,Films,6,The Secret Life of Pets 2,,4
Argentina,AR,2022-02-06,Films,7,Believe Me: The Abduction of Lisa McVey,,1
Argentina,AR,2022-02-06,Films,8,Precious Cargo,,1
Argentina,AR,2022-02-06,Films,9,THE CRAZIES,,1
Argentina,AR,2022-02-06,Films,10,Faster,,1
Argentina,AR,2022-02-06,TV,1,Café con aroma de mujer,Café con aroma de mujer: Season 1,6
Argentina,AR,2022-02-06,TV,2,All of Us Are Dead,All of Us Are Dead: Season 1,2
Argentina,AR,2022-02-06,TV,3,El marginal,El marginal: Season 4,3
Argentina,AR,2022-02-06,TV,4,The Queen of Flow,The Queen of Flow: Season 2,12
Argentina,AR,2022-02-06,TV,5,Dark Desire,Dark Desire: Season 2,1
Argentina,AR,2022-02-06,TV,6,The Sinner,The Sinner: Season 4: Percy,2
Argentina,AR,2022-02-06,TV,7,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,32
Argentina,AR,2022-02-06,TV,8,The Queen of Flow,The Queen of Flow: Season 1,14
Argentina,AR,2022-02-06,TV,9,Boruto: Naruto Next Generations,Boruto: Naruto Next Generations: Season 1,1
Argentina,AR,2022-02-06,TV,10,El marginal,El marginal: Season 1,3
Argentina,AR,2022-01-30,Films,1,The Royal Treatment,,2
Argentina,AR,2022-01-30,Films,2,The Secret Life of Pets 2,,3
Argentina,AR,2022-01-30,Films,3,The Possession of Hannah Grace,,1
Argentina,AR,2022-01-30,Films,4,My Father's Violin,,1
Argentina,AR,2022-01-30,Films,5,Home Team,,1
Argentina,AR,2022-01-30,Films,6,Munich – The Edge of War,,2
Argentina,AR,2022-01-30,Films,7,A Perfect Enemy,,1
Argentina,AR,2022-01-30,Films,8,Hotel Transylvania 3: Summer Vacation,,6
Argentina,AR,2022-01-30,Films,9,Amandla,,1
Argentina,AR,2022-01-30,Films,10,The Gallows Act II,,1
Argentina,AR,2022-01-30,TV,1,Café con aroma de mujer,Café con aroma de mujer: Season 1,5
Argentina,AR,2022-01-30,TV,2,El marginal,El marginal: Season 4,2
Argentina,AR,2022-01-30,TV,3,The Queen of Flow,The Queen of Flow: Season 2,11
Argentina,AR,2022-01-30,TV,4,All of Us Are Dead,All of Us Are Dead: Season 1,1
Argentina,AR,2022-01-30,TV,5,The Sinner,The Sinner: Season 4: Percy,1
Argentina,AR,2022-01-30,TV,6,El marginal,El marginal: Season 1,2
Argentina,AR,2022-01-30,TV,7,Riverdale,Riverdale: Season 5,2
Argentina,AR,2022-01-30,TV,8,Ozark,Ozark: Season 4 Part 1,2
Argentina,AR,2022-01-30,TV,9,The Queen of Flow,The Queen of Flow: Season 1,13
Argentina,AR,2022-01-30,TV,10,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,31
Argentina,AR,2022-01-23,Films,1,The Secret Life of Pets 2,,2
Argentina,AR,2022-01-23,Films,2,The Royal Treatment,,1
Argentina,AR,2022-01-23,Films,3,Brazen,,2
Argentina,AR,2022-01-23,Films,4,The Clovehitch Killer,,2
Argentina,AR,2022-01-23,Films,5,Don't Look Up,,5
Argentina,AR,2022-01-23,Films,6,The Mustang,,1
Argentina,AR,2022-01-23,Films,7,Hotel Transylvania 3: Summer Vacation,,5
Argentina,AR,2022-01-23,Films,8,Munich – The Edge of War,,1
Argentina,AR,2022-01-23,Films,9,Photocopier,,1
Argentina,AR,2022-01-23,Films,10,Riverdance: The Animated Adventure,,1
Argentina,AR,2022-01-23,TV,1,Café con aroma de mujer,Café con aroma de mujer: Season 1,4
Argentina,AR,2022-01-23,TV,2,El marginal,El marginal: Season 4,1
Argentina,AR,2022-01-23,TV,3,The Queen of Flow,The Queen of Flow: Season 2,10
Argentina,AR,2022-01-23,TV,4,Archive 81,Archive 81: Season 1,1
Argentina,AR,2022-01-23,TV,5,The Queen of Flow,The Queen of Flow: Season 1,12
Argentina,AR,2022-01-23,TV,6,El marginal,El marginal: Season 1,1
Argentina,AR,2022-01-23,TV,7,Riverdale,Riverdale: Season 5,1
Argentina,AR,2022-01-23,TV,8,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,30
Argentina,AR,2022-01-23,TV,9,Cobra Kai,Cobra Kai: Season 4,4
Argentina,AR,2022-01-23,TV,10,Ozark,Ozark: Season 4 Part 1,1
Argentina,AR,2022-01-16,Films,1,Brazen,,1
Argentina,AR,2022-01-16,Films,2,Mother/Android,,2
Argentina,AR,2022-01-16,Films,3,The Clovehitch Killer,,1
Argentina,AR,2022-01-16,Films,4,The Secret Life of Pets 2,,1
Argentina,AR,2022-01-16,Films,5,Don't Look Up,,4
Argentina,AR,2022-01-16,Films,6,Four to Dinner,,2
Argentina,AR,2022-01-16,Films,7,The Lost Daughter,,3
Argentina,AR,2022-01-16,Films,8,Yesterday,,1
Argentina,AR,2022-01-16,Films,9,How I Fell in Love with a Gangster,,1
Argentina,AR,2022-01-16,Films,10,Nymphomaniac: Volume 1,,1
Argentina,AR,2022-01-16,TV,1,Café con aroma de mujer,Café con aroma de mujer: Season 1,3
Argentina,AR,2022-01-16,TV,2,The Queen of Flow,The Queen of Flow: Season 2,9
Argentina,AR,2022-01-16,TV,3,Cobra Kai,Cobra Kai: Season 4,3
Argentina,AR,2022-01-16,TV,4,Stay Close,Stay Close: Limited Series,2
