Language,ID
English,1
Japanese,1
French,1
English,2
English,3
English,4
Italian,5
English,6
Spanish,6
English,7
German,7
Russian,7
English,8
German,8
French,8
Italian,8
English,9
German,9
Hebrew,9
Spanish,9
Arabic,9
Nepali,9
English,10
German,10
French,10
Italian,10
English,11
Spanish,11
Hindi,12
English,12
Spanish,13
English,14
English,15
French,15
Latin,15
Italian,16
English,16
Spanish,16
English,17
German,17
Greek,17
Arabic,17
English,18
French,18
Italian,18
English,19
English,20
English,21
American Sign Language,21
English,22
French,22
English,23
Japanese,23
English,24
English,25
Latin,25
English,26
English,27
English,28
Nyanja,28
Afrikaans,28
Zulu,28
Xhosa,28
Southern Sotho,28
English,29
Italian,29
Latin,29
Spanish,29
German,29
English,30
Spanish,30
English,31
Spanish,31
English,32
Spanish,32
Korean,33
Hawaiian,33
English,34
Hindi,35
English,36
Saami,36
English,37
Swedish,37
English,38
Hindi,39
English,39
English,40
German,40
English,41
English,42
English,43
Cantonese,44
Mandarin,44
Japanese,44
English,45
Sinhalese,45
Hindi,45
English,46
French,46
English,47
Cantonese,47
English,48
Portuguese,48
French,48
Japanese,48
English,49
English,50
German,50
French,50
English,51
Spanish,51
French,51
English,52
French,52
English,53
English,54
English,55
French,55
German,55
Italian,55
English,56
English,57
Russian,57
French,57
Japanese,58
Japanese Sign Language,58
English,59
English,60
English,61
Spanish,61
English,62
English,63
English,64
English,65
English,66
English,67
English,68
Spanish,68
English,69
Spanish,70
English,71
Irish,71
English,72
Spanish,72
English,73
English,74
Cantonese,75
Mandarin,75
French,76
English,76
Spanish,77
English,78
English,79
English,80
English,81
Hindi,82
English,82
Awadhi,82
Urdu,82
English,83
English,84
French,84
English,85
Spanish,85
Italian,85
Latin,85
Portuguese,85
French,85
German,85
English,86
Japanese,86
English,87
Spanish,87
Portuguese,87
English,88
Telugu,89
Tamil,89
English,90
English,91
English,92
Lingala,92
French,92
Spanish,93
English,94
Korean,94
Spanish,94
English,95
English,96
English,97
Russian,97
Japanese,98
English,99
English,100
American Sign Language,100
English,101
English,102
Russian,102
Spanish,102
English,103
Spanish,103
English,104
English,105
English,106
Cantonese,107
Mandarin,107
English,107
English,108
English,109
Telugu,110
Tamil,110
English,111
Hindi,112
English,112
Urdu,112
Persian,112
Kurdish,112
English,113
Hindi,113
Bengali,113
English,114
French,114
Greek,114
English,115
Hindi,116
Japanese,116
Spanish,116
English,116
English,117
English,118
English,119
French,119
English,120
Russian,120
Korean,121
English,121
English,122
English,123
Japanese,124
English,125
English,126
French,126
Thai,127
English,127
English,128
English,129
Spanish,129
English,130
English,131
French,132
English,132
East-Greenlandic,133
English,133
Hindi,134
French,135
English,135
English,136
English,137
English,138
English,139
English,140
English,141
English,142
English,143
English,144
English,145
English,146
English,147
French,147
English,148
Arabic,148
Spanish,148
Japanese,148
Berber languages,148
French,148
Russian,148
Japanese Sign Language,148
Swedish,149
English,149
Danish,149
English,150
English,151
Hindi,152
English,152
English,153
Russian,153
Hungarian,153
French,153
Turkish,153
English,154
Hindi,155
Hindi,156
English,157
American Sign Language,157
English,158
French,158
English,159
English,160
French,161
English,162
Japanese,163
English,163
French,163
English,164
English,165
French,165
Swahili,165
English,166
Spanish,166
Filipino,167
English,167
English,168
Yiddish,168
Hebrew,168
English,169
French,169
English,170
Arabic,171
Nyanja,171
English,171
Hindi,172
English,173
French,173
English,174
Hindi,175
English,175
English,176
English,177
English,178
English,179
English,180
English,181
English,182
English,183
Ukrainian,184
Russian,184
English,184
English,185
English,186
English,187
German,187
English,188
English,189
English,190
Spanish,190
English,191
Ukrainian,191
Hindi,192
Hungarian,193
English,194
English,195
English,196
English,197
English,198
Mandarin,198
English,199
French,199
German,199
English,200
English,201
English,202
English,203
Cheyenne,203
French,203
Marathi,204
English,205
English,206
Korean,206
English,207
Hindi,208
English,209
Japanese,210
English,211
Spanish,211
English,212
Arabic,212
German,212
English,213
English,214
English,215
English,216
English,217
Spanish,218
English,219
English,220
German,220
Russian,220
English,221
German,221
French,221
English,222
English,223
English,224
French,224
English,225
Persian,226
English,227
Norwegian,228
English,228
French,228
Swedish,228
English,229
English,230
English,231
Indonesian,232
English,232
Mandarin,232
French,232
English,233
Spanish,233
Hindi,234
English,235
Mandarin,235
English,236
English,237
Russian,237
Korean,237
English,238
French,238
Spanish,239
English,240
English,241
English,242
English,243
English,244
Romanian,245
English,246
Italian,246
French,247
English,248
