type,title,director,cast,country,date_added,release_year,duration,ratings_imdb,rating_rt
TV Show,Bling Empire,Jeff Jenkins,"Kevin Kreider,�Kelly Mi Li,�Kane Lim,�Cherie Chan,�Christine Chiu,�Gabriel Chiu,�Anna Shay,�Andrew Gray,�Jessy Lee,�Kim Lee",,"January 15, 2021",2021,1 Season,5.7,3.4
TV Show,Carmen Sandiego,"Kettler,�Anne Loi","Gina Rodriguez, Finn Wolfhard, Abby Trott, Michael Hawley, Michael Goldsmith, Kari Wahlgren, Sharon Muthu, Liam O'Brien, Rafael Petardi, Charlet Chung",United States,"January 15, 2021",2021,4 Seasons,7.9,4.6
Movie,Charming,Ross Venokur,"Wilmer Valderrama, Demi Lovato, Sia, Nia Vardalos, Ashley Tisdale, Avril Lavigne, G.E.M., John Cleese, Chris Harrison, Dee Bradley Baker, Carlos Alazraqui","Canada, United States, Cayman Islands","January 8, 2021",2021,85 min,5.6,2.5
Movie,Chris Rock Total Blackout: The Tamborine Extended Cut,Chris Rock,Chris Rock,,"January 12, 2021",2021,98 min,7.3,3.5
TV Show,Cobra Kai,,"Ralph Macchio, William Zabka, Xolo Maridueña, Martin Kove, Mary Mouser, Tanner Buchanan, Courtney Henggeler, Jacob Bertrand",United States,"January 1, 2021",2021,3 Seasons,8.6,4.7
Movie,"Crack: Cocaine, Corruption & Conspiracy",Stanley Nelson,,United States,"January 11, 2021",2021,90 min,6.6,3.5
Movie,Creating The Queen's Gambit,,,,"January 8, 2021",2021,14 min,6.9,3.5
TV Show,Disenchantment,,"Abbi Jacobson, Eric André, Nat Faxon, John DiMaggio, Tress MacNeille, Matt Berry, David Herman, Maurice LaMarche, Lucy Montgomery, Billy West",United States,"January 15, 2021",2021,3 Seasons,7.2,3.9
TV Show,Dream Home Makeover,,,United States,"January 1, 2021",2021,2 Seasons,5.5,2
TV Show,Gabby's Dollhouse,,"Laila Lockhart Kraner, Tucker Chandler, Juliet Donenfeld, Maggi Lowe, Donovan Patton, Eduardo Franco, Tara Strong, Secunda Wood, Carla Tassara, Sainty Nelsen",,"January 5, 2021",2021,1 Season,7.9,3.8
TV Show,Headspace Guide to Meditation,,Andy Puddicombe,United States,"January 1, 2021",2021,1 Season,8.6,2
TV Show,Hilda,,"Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker","United Kingdom, Canada, United States","December 14, 2020",2021,2 Seasons,8.6,4.8
TV Show,History of Swear Words,,Nicolas Cage,United States,"January 5, 2021",2021,1 Season,6.5,3.2
TV Show,Inside the World's Toughest Prisons,,Paul Connolly,United Kingdom,"January 8, 2021",2021,5 Seasons,7.1,2
TV Show,Lupin,,"Omar Sy, Ludivine Sagnier, Clotilde Hesme, Nicole Garcia, Hervé Pierre, Soufiane Guerrab, Antoine Gouy, Fargass Assandé, Vincent Londez, Shirine Boutella",United States,"January 8, 2021",2021,1 Season,7.6,4.5
